Rank,Name,Nat.,20/09 Belgrade (SA),27/09 Gand (SA),04/10 Genève (SA),11/10 Split (SA),18/10 Dublin (SA),25/10 Barcelone (SA),05/12 Vancouver (A),09/01 Fujairah (A),24/01 Doha (GP),05/02 Heidenheim (A),26/03 Astana (A),17/04 Budapest (GP),08/05 Medellín (GP),22/05 Berne (A),01/06 Abidjan (CHZ),16/06 Lima (CHZ),16/06 Antony (CHZ),20/06 Delhi (CHZ),23/07 Hong Kong (CHM),Total points
25,BARDENET Alexandre,FRA,,,,,,,2.0,4.0,12.0,4.0,2.0,3.0,12.0,2.0,,,3.0,,20.0,58.0
26,ALOMAIRI Khalifah,KSA,,,,,,,0.0,0.25,0.0,0.25,,3.0,,0.25,,,,3.0,50.0,56.75
27,HAURI Ian,SUI,,,,,,,2.0,4.0,3.0,4.0,2.0,30.0,6.0,0.5,,,6.0,,2.5,55.5
28,SARID Alon,ISR,,,,,,,2.0,1.0,,0.25,4.0,,,4.0,,,39.0,,5.0,55.25
29,FORTIN Paul,FRA,,,,,,,2.0,2.0,0.75,0.25,0.25,0.375,30.0,2.0,,,6.0,,10.0,52.75
30,MATSUMOTO Ryu,JPN,,,,,,,2.0,0.5,3.0,2.0,0.5,0.75,3.0,1.0,,,,6.0,35.0,52.0
31,VILENSKY Dov Ber,ISR,,,,,,,26.0,,,1.0,2.0,6.0,,0.25,,,6.0,,10.0,51.25
32,KNYSH Oleg,USA,,,,,,,4.0,2.0,3.0,0.0,0.5,0.75,1.5,,,30.0,,,10.0,51.25
33,LEE Rang,TPE,,,,,,,1.0,2.0,,2.0,0.5,3.0,,0.25,,,,39.0,1.25,48.75
34,ELKORD Houssam,MAR,,,,,,,,0.25,,1.0,0.25,0.375,1.5,,39.0,,,,5.0,47.375
35,SCHEMBRI Kruz,ISV,,,,,,,14.0,,,4.0,,6.0,0.75,,,12.0,,,10.0,46.75
36,GUSEV Dmitriy,RUS,,,,,,,,1.0,30.0,1.0,2.0,0.0,,0.25,,,0.0,,10.0,44.25
37,IMREK Samuel,USA,,,,,,,4.0,2.0,3.0,8.0,2.0,3.0,12.0,4.0,,12.0,,,1.25,44.25
38,PARK Sangyoung,KOR,,,,,,,1.0,8.0,12.0,1.0,2.0,1.5,6.0,4.0,,,,6.0,5.0,43.0
39,FRAZAO Miguel,POR,,4.0,,,1.0,4.0,4.0,0.5,0.75,1.0,8.0,12.0,6.0,2.0,,,3.0,,5.0,42.0
40,KOMATA Akira,JPN,,,,,,,2.0,2.0,6.0,8.0,4.0,3.0,3.0,4.0,,,,12.0,5.0,42.0
41,ELSAYED Mahmoud,EGY,,,,0.25,,,2.0,2.0,0.75,2.0,2.0,0.75,,1.0,30.0,,,,2.5,41.5
42,BROOKE Alec,ARG,,,,,,,,,3.0,,,1.5,12.0,2.0,,21.0,,,1.25,40.75
43,COHEN Yonatan,ISR,,,0.0,,,,0.25,0.5,,2.0,2.0,6.0,,4.0,,,21.0,,5.0,40.5
44,FONG Hoi Sun,HKG,,,,,,,14.0,4.0,3.0,2.0,4.0,6.0,1.5,0.5,,,,6.0,2.5,39.5
45,IMREK Elijah,USA,,,,,,,0.25,14.0,3.0,2.0,2.0,3.0,6.0,2.0,,6.0,,,5.0,39.0
46,FRENCH Dylan,CAN,,,,,,,0.5,0.25,,2.0,0.5,0.375,,0.25,,30.0,,,5.0,38.625
47,SHAMEL Youssef,EGY,,,,,,,,14.0,,,,,0.0,,21.0,,,,2.5,37.5
48,FRAZAO Filipe,POR,,0.5,,,0.0,1.0,0.5,0.5,1.5,0.25,4.0,1.5,3.0,0.5,,,21.0,,5.0,37.0
49,GAVALDA Eugeni,ESP,,,,,,0.0,0.25,14.0,1.5,2.0,1.0,1.5,3.0,14.0,,,0.0,,2.5,37.0
50,VINEIS Sven,SUI,,,0.0,,,,2.0,8.0,0.75,0.25,1.0,0.375,3.0,1.0,,,12.0,,10.0,37.0
51,ZHULINSKIY Nikita,KAZ,,,,,,,2.0,4.0,1.5,14.0,1.0,3.0,6.0,0.5,,,,6.0,,35.0
52,FERNANDEZ CALLEJA Alvaro,ESP,4.0,,,,3.0,0.0,2.0,2.0,,0.25,1.0,0.375,,0.25,,,21.0,,1.25,34.25
53,CAMARGO Alexandre,BRA,,,,,,,1.0,0.25,0.375,0.5,,0.375,3.0,20.0,,6.0,,,2.5,33.375
54,MICHALAK Damian,POL,,,,0.0,,,8.0,1.0,6.0,0.25,2.0,1.5,,0.25,,,12.0,,2.5,33.0
55,XIAO Ruibo (Leon),CAN,,,,,,,1.0,2.0,,0.25,,0.375,12.0,,,12.0,,,5.0,32.625
56,RUBES Martin,CZE,,,,,,,2.0,0.5,1.5,2.0,0.5,3.0,1.5,2.0,,,12.0,,10.0,32.5
57,FENYVESI Csaba,HUN,0.0,,,,,,2.0,1.0,6.0,0.25,,21.0,0.75,2.0,,,,,,32.0
58,JEAN JOSEPH Kendrick,FRA,,,,,,,2.0,1.0,12.0,0.5,4.0,1.5,3.0,0.5,,,6.0,,2.5,31.0
59,TYCHLER Pavel,RSA,,,,,,,,,,,,,,,30.0,,,,0.625,30.625
60,DEGUCHI Nicolas,BRA,,,,,,,,,,0.0,,0.75,,8.0,,21.0,,,0.0,29.75
61,XIU Yuhan,CHN,,,,,,,0.0,0.25,,2.0,1.0,1.5,,0.25,,,,21.0,2.5,28.5
62,KESZTHELYI Zsombor,HUN,,,,,,,2.0,4.0,0.375,2.0,8.0,12.0,1.5,1.0,,,,,,28.0
63,SHAN Junzhe (Simon),CAN,,,,,,,4.0,1.0,,1.0,,,,,,21.0,,,0.625,27.625
64,GALLY Aymerick,FRA,,,,,,,2.0,1.0,1.5,0.25,0.25,3.0,12.0,0.25,,,3.0,,5.0,27.5
65,KWON Omin,KOR,,,,,,,0.5,4.0,0.375,2.0,,0.375,0.75,4.0,,,,6.0,10.0,27.25
66,BRINKMANN Marco,GER,,0.5,,,,,0.5,1.0,0.75,1.0,14.0,0.375,,1.0,,,6.0,,2.5,26.25
67,HO Wai Hang,HKG,,,,,,,0.0,2.0,0.0,0.5,0.0,0.75,6.0,0.0,,,,12.0,5.0,26.25
68,CROOK Jacob,AUS,,,,,,,0.0,0.0,0.375,0.25,1.0,,,,,,,21.0,2.5,25.125
69,ARMALEO Filippo,ITA,,,0.5,,,,0.25,4.0,3.0,4.0,2.0,1.5,12.0,1.0,,,,,,25.0
70,JANG Hyomin,KOR,,,,,,,0.25,2.0,3.0,2.0,2.0,0.0,6.0,0.25,,,,,10.0,25.0
71,LAU Ho Fung,HKG,,,,,,,4.0,2.0,0.75,2.0,0.5,1.5,1.5,0.5,,,,12.0,1.25,24.25
72,LAN Minghao,CHN,,,,,,,,,,0.25,8.0,0.375,,0.5,,,,12.0,2.5,23.625
73,BELLMANN Lukas,GER,,1.0,,,,,1.0,2.0,6.0,0.25,1.0,,0.75,8.0,,,3.0,,2.5,23.5
74,YANG Fengming,CHN,,,,,,,,0.25,,4.0,2.0,3.0,,1.0,,,,12.0,1.25,23.5
75,PRIINITS Sten,EST,,,,0.0,,3.0,,,3.0,0.25,,0.75,,8.0,,,3.0,,5.0,23.0
76,LUGO Grabiel,VEN,,,,0.0,,0.25,,,,,,,,0.25,,21.0,,,1.25,22.75
77,MOHSEN Mahmoud,EGY,,,,,,,0.25,4.0,,0.25,,0.75,,0.25,12.0,,,,5.0,22.5
78,BARGUES Manuel,ESP,,,,,,0.0,0.25,0.5,3.0,0.5,1.0,3.0,0.0,2.0,,,3.0,,10.0,22.5
79,NG Ho Tin,HKG,,,,,,,1.0,0.5,1.5,0.25,0.5,3.0,3.0,0.5,,,,3.0,10.0,22.0
80,GE Yilu,TPE,,,0.0,,,,1.0,2.0,,0.25,2.0,,,2.0,,,,12.0,2.5,21.75
81,MOHAMMEDI Imrane,ALG,,0.25,0.0,,,0.0,,,,0.0,,0.375,,0.0,21.0,,,,,21.625
82,ISLAMOV Rustam,KGZ,,,,,,,,,,,,0.375,,0.0,,,,21.0,,21.375
83,ALVARES DE OLIVEIRA Victor,CPV,,,,,,,,,,,,,,,21.0,,,,,21.0
84,ROUSSEL Thomas,CIV,,,,,,,,,,,,,,0.0,21.0,,,,0.0,21.0
85,MAKIIENKO Ievgen,UKR,,,,,,,0.25,0.25,3.0,0.25,1.0,1.5,,2.0,,,12.0,,1.25,21.0
86,SANTARELLI Andrea,ITA,,,,,,,1.0,0.25,6.0,0.5,2.0,1.5,3.0,0.25,,,6.0,,1.25,20.75
87,TAFENAU Kasper,EST,,,,,,,,,,0.25,,12.0,,,,,3.0,,5.0,20.25
88,KOVACS Gergely,HUN,2.0,,,4.0,,,4.0,2.0,3.0,2.0,,3.0,6.0,0.25,,,,,,20.0
89,JORGENSEN Patrick,DEN,3.0,0.25,0.25,,,,2.0,2.0,3.0,0.25,0.5,1.5,6.0,1.0,,,1.5,,2.5,20.0
90,FAVRE Hadrien,SUI,,,,,,,0.5,0.25,1.5,4.0,1.0,12.0,1.5,1.0,,,,,,20.0
91,BUELAU Matthew,GER,,,,,,,0.5,1.0,3.0,0.25,2.0,,,0.25,,,12.0,,1.25,20.0
92,MIDELTON Luidgi,FRA,,,,,,,0.25,4.0,,0.5,1.0,3.0,3.0,8.0,,,,,,19.0
93,LAMBREY MESSIKA Yehonathan,ISR,,,,,,,8.0,1.0,,0.25,0.25,0.75,,0.5,,,3.0,,5.0,18.5
94,SHARLAIMOV Vadim,KAZ,,,,,,,1.0,0.5,1.5,1.0,1.0,6.0,3.0,2.0,,,,,5.0,18.5
95,BRUEV Georgiy,RUS,,,,,,,,,,,,,,14.0,,,3.0,,1.25,18.25
96,MARKOTA Vedran,CRO,,,,0.5,1.0,,,,6.0,1.0,,0.75,0.75,0.5,,,3.0,,5.0,17.5
97,NAM Yeonho,KOR,,,,,,,0.5,0.5,6.0,0.0,0.25,3.0,1.5,2.0,,,,3.0,1.25,17.25
98,GUROV Kirill,RUS,,,,,,,2.0,2.0,3.0,2.0,2.0,,,8.0,,,,,,17.0
99,ONISHCHUK Kirill,RUS,,,,,,,,0.25,1.5,0.25,8.0,0.75,,1.0,,,3.0,,2.5,17.0
100,RUBIN Daniel,CAN,,,,,,,4.0,,,0.25,,,0.75,,,12.0,,,,17.0
101,MAHRINGER Josef,AUT,,,,,,,1.0,,,2.0,,0.375,,0.5,,,3.0,,10.0,16.875
102,METRAILLER Clement,SUI,,,0.5,,,,8.0,0.0,6.0,0.25,0.0,1.5,0.75,0.25,,,,,,16.75
103,GIANNOTTE Flavio,LUX,,,,,,,4.0,0.25,0.375,1.0,,0.375,3.0,0.25,,,3.0,,5.0,16.75
104,ANTKIEWICZ Mateusz,POL,,,,,,,1.0,2.0,,4.0,,1.5,,0.25,,,3.0,,5.0,16.75
105,BIRO Alexander,AUT,,,,,0.0,,,,,0.5,,12.0,,1.0,,,0.0,,2.5,16.0
106,BUZZACCHINO Gianpaolo,ITA,,,,,,,2.0,2.0,6.0,4.0,1.0,0.375,0.75,2.0,,,,,,16.0
107,JOHANIDES Lukas Jakub,SVK,,,0.0,0.0,,0.0,2.0,0.25,3.0,0.25,1.0,0.75,0.75,0.5,,,3.0,,5.0,15.5
108,SVENSSON Jonathan,SWE,,,,,,,,,,1.0,8.0,0.375,,2.0,,,3.0,,0.625,15.0
109,BAKYTBEK UULU Ilim,KGZ,,,,,,,,,,,0.5,1.5,,0.25,,,,12.0,0.625,14.875
110,GUNPUT Satya,MRI,,0.0,0.0,,,0.0,0.0,,0.75,0.25,0.25,0.0,,0.25,12.0,,,,1.25,14.75
111,URBAN Piotr,POL,,,,0.25,,,0.0,0.0,3.0,0.5,4.0,0.75,,1.0,,,3.0,,2.5,14.75
112,ZHANG Xinkun,CHN,,,,,,,1.0,8.0,,0.25,0.25,3.0,,1.0,,,,,1.25,14.5
113,BILLA Gaetan,FRA,,,,,,,1.0,1.0,6.0,0.5,0.5,0.375,6.0,,,,,,,14.5
114,PAVLOV Kiril,KAZ,,,,,,,2.0,2.0,3.0,1.0,0.5,6.0,1.5,1.0,,,,,,14.5
115,VAN NUNEN David,NED,,2.0,0.25,,,,0.25,1.0,,2.0,2.0,3.0,,0.5,,,3.0,,1.25,14.25
116,RASHAIDA Rahim,BUL,1.0,,,,0.0,,2.0,,,0.25,0.25,0.375,,4.0,,,6.0,,0.625,14.25
117,DORATI AMEGLIO Arturo Isaac,PAN,,,,,,,0.25,,,,,,1.5,0.25,,12.0,,,0.0,14.0
118,GUSMAN Agustin Adolfo,ARG,,,,,,0.0,,,,1.0,,0.375,,0.0,,12.0,,,0.625,14.0
119,PIATTI Enrico,ITA,,,,,,,0.25,1.0,6.0,2.0,1.0,0.375,3.0,2.0,,,,,,14.0
120,FEDOTOV Alexandr,KAZ,,,,,,,2.0,1.0,0.375,8.0,0.25,0.375,1.5,1.0,,,,,,13.5
121,MOLINA CERON Alexis Mauricio,ESA,,,,,,,,,,,,,0.375,0.25,,12.0,,,0.625,13.25
122,SIMMONS Ariel,USA,,,,,,,,,,,1.0,,12.0,0.25,,,,,,13.25
123,RODRIGUEZ John Edison,COL,,,,,,0.25,2.0,,,0.5,,,3.0,0.25,,6.0,,,1.25,13.25
124,SITO Jian Tong,SGP,,,,,,0.25,0.25,4.0,0.0,0.5,,0.375,,2.0,,,,6.0,0.0,13.125
125,EROLCEVIK Doruk,TUR,,,,0.5,,,0.0,,0.0,0.25,0.25,0.75,,0.25,,,6.0,,5.0,13.0
126,LIMARDO Jesus,VEN,,,,0.0,,0.5,0.25,,,2.0,0.5,1.5,1.5,2.0,,3.0,,,2.5,13.0
127,CUOMO Fabrizio,ITA,,,,,,,,0.25,6.0,,0.5,3.0,3.0,0.5,,,,,,13.0
128,STANGE Jakob,GER,,,,,,,8.0,,0.375,0.25,1.0,0.375,,0.25,,,1.5,,1.25,12.75
129,VILLACORTA PORTILLO Saul Moris,ESA,,,,,,,,,,,,,,0.0,,12.0,,,0.625,12.625
130,MOHAMADOU Fessal,CMR,,,,,,,,,,0.25,,0.375,,0.0,12.0,,,,0.0,12.625
131,LOSEVSKIY Sergey,RSA,0.25,0.0,,,,,,,0.375,,,,,,12.0,,,,,12.625
132,BEUGRE Bedi Paul Alex,CIV,,,,,,,,,,,,,,,12.0,,,,0.625,12.625
133,LIMARDO Francisco,VEN,,,,,,0.5,0.5,,,0.0,0.5,0.375,3.0,0.25,,6.0,,,1.25,12.125
134,SANER Harry,RSA,,,,,,,,,,,,,,,12.0,,,,0.0,12.0
135,SAGNAN Bourama Keba,SEN,,,,,,,,,,,,,,,12.0,,,,,12.0
136,TULEN Rafael,NED,,0.25,,,0.5,,0.25,0.5,1.5,0.25,0.0,0.75,1.5,0.25,,,6.0,,1.25,12.0
137,PELLE Domonkos,HUN,,,,,,,,,,,,12.0,,,,,,,,12.0
137,MENDES Philipe,SEN,,,,,,,,,,,,,,,12.0,,,,,12.0
139,KRASNIUK Mykhailo,UKR,,,,1.0,,0.0,0.25,0.25,3.0,0.0,0.0,3.0,,0.5,,,1.5,,2.5,11.75
140,PEREIRA Yulen,ESP,,,,,,0.5,1.0,0.0,,,4.0,0.375,,0.25,,,3.0,,2.5,11.625
141,YOO Justin,USA,,,,,,,2.0,0.0,0.375,0.25,0.0,6.0,3.0,0.25,,,,,,11.625
142,CUOMO Valerio,ITA,,,,,,,1.0,1.0,3.0,1.0,4.0,0.375,1.5,2.0,,,,,,11.5
143,STANKEVYCH Volodymyr,UKR,,,,,,,0.25,8.0,1.5,1.0,0.5,,,0.25,,,,,,11.25
144,TIMUROV Meyirkhan,UZB,,,,,,,,0.25,1.5,0.0,2.0,1.5,,0.25,,,,3.0,2.5,11.0
145,ASAMI Seiya,JPN,,,,,,,0.25,0.25,1.5,2.0,0.25,0.375,6.0,1.0,,,,,,10.875
146,VALDERRAMA Jorge,CHI,,,,0.0,2.0,0.0,,,,,0.25,,,,,6.0,,,2.5,10.75
147,JARVI Kerkko,FIN,,,,,,,,2.0,0.75,,,,,,,,3.0,,5.0,10.75
148,SOCHA Jan,POL,,,,,,,0.25,0.5,,0.25,1.0,0.375,,0.25,,,3.0,,5.0,10.375
149,LIMARDO GASCON Ruben,VEN,,,,,,1.0,,,,0.5,4.0,3.0,1.5,0.25,,,,,,10.0
150,SON Minseong,KOR,,,,,,,0.0,0.0,1.5,1.0,2.0,0.375,1.5,1.0,,,,3.0,,10.0
151,SEMANENKA Mark,BLR,,,,,,,0.25,,1.5,,0.5,3.0,0.375,2.0,,,,,2.5,9.875
152,CASTILLO GUTIERREZ Juan Andres,COL,,,,,,0.0,0.25,,,0.0,,,0.0,2.0,,6.0,,,1.25,9.5
153,MASTROMARINO Fabio,ITA,,,,,,,2.0,,1.5,,,,6.0,,,,,,,9.5
154,BROCHARD Theo,SUI,,,0.0,,,,0.25,4.0,0.75,0.5,1.0,0.0,1.5,2.0,,,,,,9.25
155,UDOVICHENKO Aleksey,RUS,,,,,,,2.0,0.5,6.0,0.25,0.5,0.0,,,,,,,,9.25
156,PENG Shengwei,CHN,,,,,,,,,,1.0,0.25,0.75,,4.0,,,,3.0,,9.0
157,HUANG Yuxuan,CHN,,,,,,,0.5,2.0,,0.25,0.25,6.0,,0.25,,,,,,9.0
158,NUNEZ Pablo,CHI,,,,0.25,0.25,0.25,0.5,,,,0.25,0.375,1.5,0.0,,6.0,,,,8.875
159,TZOVANIS Artemios,GRE,,,,,,,,,,,,,,0.25,,,6.0,,2.5,8.75
160,PUAH Zee Cher,SGP,,,,,,,,0.25,1.5,0.25,,,,0.0,,,,6.0,0.625,8.625
161,LIU Yongchuang,CHN,,,,,,,,2.0,,4.0,2.0,0.375,,0.25,,,,,,8.625
162,ANOKHIN Vadim,UZB,,,,,,,,,,,,0.375,,0.25,,,,3.0,5.0,8.625
163,JOVANOVIC Jovan,SRB,0.0,,,,,,0.25,,,0.0,,0.375,0.375,0.25,,,6.0,,1.25,8.5
164,LEE Simon Renjie,SGP,,,,,,,0.5,0.25,0.375,0.25,,0.375,,1.0,,,,6.0,,8.5
165,WU Chun-Ming,TPE,,,,,,,0.25,0.25,,,1.0,,,0.25,,,,6.0,0.625,8.375
166,YANG Yoonjin,KOR,,,,,,,2.0,0.5,0.375,1.0,4.0,0.375,0.75,0.5,,,,,,8.25
167,GORNOVSKY David,CAN,,,,,,,0.25,,,2.0,,,,1.0,,,,,5.0,8.25
168,PAVLIK Matyas,CZE,,,,,,,0.25,0.5,1.5,0.25,0.25,0.75,3.0,0.0,,,1.5,,0.625,8.125
169,FUHRIMANN Jonathan,SUI,,,4.0,,,,0.5,0.5,1.5,0.25,0.25,1.5,0.375,0.0,,,,,,8.0
170,SOMODY Soma,HUN,0.5,0.5,,3.0,,,1.0,0.0,,2.0,,1.5,,0.0,,,,,,8.0
171,DEL CONTRASTO Nicolo',ITA,,,,,,,,,,,,,,8.0,,,,,,8.0
172,SYCH Yan,UKR,,,,0.5,,,0.0,,,0.25,,6.0,,1.0,,,,,,7.75
173,BACKSTROM Ian,SWE,,,,,,,,,,0.25,0.0,,,0.25,,,6.0,,1.25,7.75
174,ALIMZHANOV Elmir,KAZ,,,,,,,0.5,0.5,0.75,2.0,1.0,3.0,0.75,1.0,,,,,,7.75
175,ABED Hassan,KSA,,,,,,,,,,,,,,0.25,,,,6.0,1.25,7.5
176,OSMAN-TOUSON Maruan,HUN,,,,,,,,0.0,1.5,2.0,,3.0,,1.0,,,,,,7.5
177,MURAYAMA Kentaro,JPN,,,,,,,0.0,1.0,1.5,0.5,0.25,0.375,0.0,4.0,,,,,,7.375
178,EAST William,GBR,,,0.0,,,0.0,1.0,,,,0.5,1.5,0.375,,,,1.5,,2.5,7.375
179,VEENENBOS Konrad,NED,0.5,0.0,0.0,,,,,,3.0,0.5,1.0,0.75,,0.5,,,1.5,,0.0,7.25
180,NGUYEN Phuoc Den,VIE,,,,,,,,,,,,,,,,,,6.0,1.25,7.25
181,BEAUTYMAN Cador,GBR,,,0.0,,,,0.0,2.0,0.375,0.25,1.0,0.0,0.75,1.0,,,1.5,,0.625,7.25
182,BENNET Joseph,IND,,,,,,,,0.5,,,0.0,,,,,,,6.0,0.625,7.125
183,PAAVOLAINEN Jaakko,FIN,,,,,,,,0.25,,2.0,0.25,0.75,,0.25,,,3.0,,0.625,7.125
184,BUTA Levente,HUN,,,,,,,,,,1.0,,6.0,,0.0,,,,,,7.0
185,ROMERO Juan Pedro,ESP,,,,,,0.25,2.0,1.0,,1.0,1.0,1.5,1.5,0.25,,,,,,7.0
186,BUZINOV Pavel,RUS,,,,,,,0.25,1.0,0.75,0.25,0.0,3.0,,2.0,,,,,,7.0
187,BRANDT Matheus,BRA,,,,,,,,,,0.0,,,0.75,,,6.0,,,,6.75
188,EL HAOUARI Abdelkarim,MAR,,,,,,,,,,,,,,,6.0,,,,0.625,6.625
189,GONZALEZ Felipe,CHI,,,,,0.25,0.0,,,,,,,0.375,0.0,,6.0,,,,6.625
190,FIGUEROA MORENO Miguel,VEN,,,,,,,,,,,0.5,,0.0,,,6.0,,,,6.5
191,JOSE Noelito,PHI,,,,,,,0.25,0.0,,,,,,2.0,,,,3.0,1.25,6.5
192,JENSEN August Lindstroem,DEN,,,,,,,1.0,0.0,0.75,0.5,0.25,0.375,,0.0,,,3.0,,0.625,6.5
193,AL JADRA Abdulrahman,QAT,,,,,,,,,0.375,,0.0,,,,,,,6.0,0.0,6.375
194,GAETANI Giulio,ITA,,,0.0,,,,2.0,2.0,0.375,2.0,,,,,,,,,,6.375
195,QUIROS Jose,PAN,,,,,,,0.0,,,,,,0.0,0.25,,6.0,,,,6.25
196,EL CHOUEIRY Antoine,LBN,,,,,,,,0.25,0.0,,,,,,,,,6.0,,6.25
197,KELLY Christopher,SWE,,,,,,,,,,1.0,1.0,,,0.25,,,1.5,,2.5,6.25
198,AMARI Djamel Eddine,ALG,,,,,,,,,,,,,,,6.0,,,,0.0,6.0
199,BERKANE Tamer Houssam Eddine,ALG,,,,,,,,,,,,0.0,,,6.0,,,,0.0,6.0
200,SEKONGO Paul Salomon,CIV,,,,,,,,,,,,,,,6.0,,,,,6.0
201,NGUYEN Tien Nhat,VIE,,,,,,,,,,,,,,,,,,6.0,,6.0
201,OURO-AGORO Al Yacine,TOG,,,,,,,,,,,,,,,6.0,,,,,6.0
203,GUBERT Leopoldo,BRA,,,,,,,,,,,,,,,,6.0,,,,6.0
203,ALAKHDAR Mohamed,LBA,,,,,,,,,,,,,,,6.0,,,,,6.0
205,BIN ISWAYD Yazin,LBA,,,,,,,,,,,,,,,6.0,,,,,6.0
206,SAOUAL Idris Noe,ALG,,,,,,,,,,,,,,,6.0,,,,,6.0
207,PHOONG Thanh Cam,VIE,,,,,,,,,,,,,,,,,,6.0,,6.0
207,IDONGESIT Mahathir,NGR,,,,,,,,,,,,,,,6.0,,,,,6.0
209,BUSTOS Joaquin,CHI,,,,,,,,,,,0.0,,,,,6.0,,,,6.0
210,NIYOMUGABO Jerome,RWA,,,,,,,,,,,,,,,6.0,,,,,6.0
211,DIARRASSOUBA Oumarou,CIV,,,,,,,,,,,,,,,6.0,,,,0.0,6.0
212,JOHNSON Diekolola,NGR,,,,,,,,,,,,,,,6.0,,,,,6.0
212,IMERI JORGE,GUA,,,,,,,,,,,,,,,,6.0,,,,6.0
214,ANINYEI Chizim Alex,NGR,,,,,,,,,,,,,,,6.0,,,,,6.0
215,MAISONET Hector,PUR,,,,,,,,,,,,,0.0,,,6.0,,,,6.0
216,ALSIHEERI Ahmed,LBA,,,,,,,,,,,,,,,6.0,,,,,6.0
217,ONYANGO Brian,KEN,,,,,,,,,,,,,,,6.0,,,,,6.0
218,DIAZ Jorge,MEX,,,,,,,,,,,,,,,,6.0,,,0.0,6.0
219,OCHIENG Victor,KEN,,,,,,,,,,,,,,,6.0,,,,,6.0
220,NURMATOV Javokhirbek,UZB,,,,,,,,0.25,0.75,0.5,0.5,0.375,,0.25,,,,3.0,0.625,6.0
