Rank,Name,Nat.,20/09 Reykjavik (SA),27/09 Gand (SA),11/10 Nuremberg (SA),18/10 Istanbul (SA),25/10 Sofia (SA),07/11 Alger (A),04/12 Orléans (GP),09/01 Tunis (GP),22/01 Salt Lake City (A),27/03 Tashkent (A),17/04 Athènes (A),02/05 Incheon (GP),22/05 Lima (A),03/06 Abidjan (CHZ),16/06 Antony (CHZ),16/06 Lima (CHZ),20/06 Delhi (CHZ),23/07 Hong Kong (CHM),Total points
15,SPIESZ Anna,HUN,,,,,,8.0,39.0,3.0,14.0,4.0,8.0,12.0,4.0,,6.0,,,5.0,92.0
16,ERBIL Nisanur,TUR,,,,4.0,,14.0,3.0,30.0,2.0,2.0,8.0,3.0,8.0,,12.0,,,10.0,86.0
17,SZUCS Luca,HUN,,,,,,4.0,21.0,3.0,4.0,4.0,20.0,6.0,2.0,,21.0,,,10.0,86.0
18,KOMASHCHUK Alina,UKR,,,,,,4.0,6.0,6.0,2.0,4.0,20.0,3.0,2.0,,30.0,,,10.0,80.0
19,VIALE Mariella,ITA,,,,,,2.0,30.0,3.0,2.0,2.0,4.0,6.0,14.0,,12.0,,,10.0,79.0
20,NAVARRO Araceli,ESP,,,,,,2.0,3.0,12.0,2.0,8.0,2.0,30.0,14.0,,6.0,,,5.0,78.0
21,APITHY Manon,FRA,,,,,,4.0,12.0,6.0,14.0,,8.0,6.0,,,12.0,,,20.0,78.0
22,GEORGIADOU Despina,GRE,,,,2.0,,14.0,12.0,21.0,2.0,8.0,,,8.0,,12.0,,,2.5,77.5
23,RAO Xueyi,CHN,,,,,,,3.0,,4.0,20.0,2.0,6.0,4.0,,,,30.0,10.0,77.0
24,SANO Yui,JPN,,,,,,4.0,6.0,1.5,0.5,2.0,1.0,1.5,2.0,,,,48.0,10.0,73.5
25,BOTELLO Natalia,MEX,,,,,,,0.0,,1.0,,4.0,1.5,4.0,,,48.0,,10.0,68.5
26,DAYIBEKOVA Zaynab,UZB,,2.0,,0.5,,2.0,6.0,6.0,1.0,1.0,,6.0,4.0,,,,6.0,35.0,65.0
27,NIKITINA Olga,RUS,,,,,,14.0,21.0,6.0,2.0,4.0,1.0,3.0,4.0,,6.0,,,5.0,60.0
28,KIM Jeongmi,KOR,,,,,,8.0,6.0,3.0,2.0,14.0,2.0,12.0,4.0,,,,12.0,2.5,58.5
29,PAN Qimiao,CHN,,,,,,2.0,6.0,,4.0,8.0,4.0,3.0,2.0,,,,21.0,10.0,56.0
30,SPICA Manuela,ITA,,,1.0,,,2.0,6.0,3.0,2.0,4.0,4.0,21.0,2.0,,12.0,,,5.0,55.0
31,KEHLI Zohra Nora,ALG,,,,,,0.5,0.0,1.5,,,,,,48.0,,,,1.25,51.25
32,KATONA Renata,HUN,,,,,,8.0,21.0,12.0,,,,,,,,,,10.0,51.0
33,PERDEBAEVA Gulistan,UZB,,,,0.25,,2.0,1.5,1.5,0.5,2.0,0.5,6.0,4.0,,,,30.0,5.0,50.5
34,SEO Jiyeon,KOR,,,,,,8.0,1.5,3.0,0.5,14.0,1.0,6.0,2.0,,,,12.0,5.0,50.0
35,LIU Sophie,USA,,,,,,,,6.0,8.0,,,3.0,1.0,,,12.0,,20.0,50.0
36,HWANG Gabriela Maria Lin,PUR,,,,,,1.0,0.0,,1.0,,4.0,,0.5,,,39.0,,2.5,48.0
37,MIKHAILOVA Aleksandra,RUS,,,,,,4.0,3.0,3.0,4.0,,14.0,12.0,2.0,,6.0,,,5.0,48.0
38,KASPIAROVICH Palina,AZE,,,,,2.0,2.0,3.0,,2.0,20.0,1.0,,1.0,,6.0,,,10.0,45.0
39,ROTILI Claudia,ITA,,,,,,0.5,12.0,0.75,8.0,1.0,1.0,12.0,2.0,,6.0,,,2.5,43.5
40,SIT Summer Fay,HKG,,,,,,,,0.75,1.0,2.0,2.0,3.0,4.0,,,,21.0,10.0,43.0
41,PAREDES TORRES Katherine F.,VEN,,,,,,2.0,,,,2.0,0.25,0.75,2.0,,,30.0,,5.0,42.0
42,SULLIVAN Siobhan,USA,,,,,,2.0,3.0,3.0,4.0,2.0,4.0,,2.0,,,21.0,,5.0,42.0
43,DAGHFOUS Yasmine,TUN,,,,,,,,0.0,,0.0,0.0,0.0,,39.0,,,,1.25,40.25
44,CIESLAR Zuzanna,POL,,,,,,4.0,6.0,,2.0,4.0,2.0,12.0,2.0,,6.0,,,5.0,39.0
45,PERRONI Maria Alicia,ARG,,0.25,,,0.5,,1.5,,,,,,1.0,,,30.0,,5.0,38.25
46,ZHANG Xinyi,CHN,,,,,,8.0,1.5,,4.0,2.0,2.0,3.0,4.0,,,,12.0,5.0,38.0
47,KANEKO Yuina,JPN,,,,,,2.0,0.75,6.0,,2.0,2.0,1.5,8.0,,,,12.0,5.0,37.0
48,HENG Juliet Jie Min,SGP,,0.25,,2.0,,,0.0,1.5,2.0,,,0.0,,,,,21.0,10.0,36.75
49,POSSICK Lola,USA,,,,,,2.0,0.375,6.0,1.0,1.0,1.0,,2.0,,,21.0,,2.5,35.5
50,NOFAL Nagwa,EGY,,,,,,,,,,,,,,30.0,,,,5.0,35.0
51,WEI Jiayi,CHN,,,,,,2.0,1.5,,4.0,2.0,2.0,1.5,8.0,,,,12.0,2.5,32.5
52,GULIK Anastassiya,KAZ,,,,,,1.0,1.5,0.0,,1.0,2.0,0.0,0.5,,,,21.0,5.0,32.0
53,OZAKI Seri,JPN,,,,,,4.0,3.0,6.0,1.0,1.0,0.5,3.0,4.0,,,,6.0,5.0,31.0
54,BOUNGAB Abik,ALG,,,,,,,,0.0,,,0.0,,,30.0,,,,0.0,30.0
55,CLAPIER Faustine,FRA,,,,,,2.0,3.0,12.0,8.0,,1.0,3.0,2.0,,,,,,28.0
56,SARYBAY Aigerim,KAZ,,,,,,2.0,3.0,0.0,,2.0,1.0,3.0,,,,,12.0,5.0,28.0
57,BERDER Cecilia,FRA,,,,,,4.0,6.0,3.0,,,8.0,6.0,,,,,,,27.0
58,VELIKAYA Sofya,RUS,,,,,,,0.75,,,4.0,0.5,21.0,,,,,,,26.25
59,POPOVA Evelina,RUS,,,,,,2.0,12.0,6.0,2.0,2.0,4.0,,,,,,,,26.0
60,MORMILE Chiara,ITA,,,,,,8.0,3.0,6.0,4.0,4.0,1.0,3.0,2.0,,,,,,25.0
61,LIU Yifei,CAN,,,,,,0.5,,,0.25,,,,,,,21.0,,2.5,24.25
62,SHOROKHOVA Anastasiya,RUS,,,,,,2.0,3.0,3.0,2.0,14.0,2.0,1.5,2.0,,,,,,24.0
63,ELDOKSH Renad,EGY,,,,,,,,,,,,,,21.0,,,,2.5,23.5
64,LI Wanxuan,CHN,,,,,,,,,1.0,,,21.0,1.0,,,,,,23.0
65,SERGEEVA Milena,RUS,,,,,,0.5,,12.0,2.0,4.0,0.5,3.0,2.0,,,,,,23.0
66,BONDAR Oleksandra,UKR,,,,,1.0,1.0,0.375,0.75,0.5,1.0,0.5,,2.0,,12.0,,,5.0,22.75
67,HERNANDEZ Elena,ESP,,,,,,0.5,0.75,3.0,2.0,4.0,0.5,1.5,1.0,,6.0,,,5.0,22.5
68,ESSOMBA Lorina,CMR,,,,,,0.0,,,,,,,,21.0,,,,1.25,22.25
69,YUN Soyeon,KOR,,,,,,4.0,0.75,3.0,0.5,1.0,1.0,12.0,2.0,,,,,,22.0
70,BLANCO NARVAEZ Maria Angelica,COL,,,,,,,,,,,,,0.5,,,21.0,,,21.5
71,BENADOUDA Chaima,ALG,,,,,,0.0,,,,,0.25,,,21.0,,,,,21.25
72,DIEDHIOU Awa,SEN,,,,,,0.0,,,,,,,,21.0,,,,,21.0
73,VASILEVA Veronika,BUL,,,0.5,0.5,0.25,1.0,3.0,0.0,2.0,2.0,2.0,,,,6.0,,,5.0,21.0
74,NEIKOVA Emma,BUL,,,0.5,1.0,0.5,0.5,0.0,1.5,4.0,4.0,2.0,,,,3.0,,,5.0,20.5
75,KUVAEVA Alexandra,GEO,,,,,,1.0,12.0,,,,2.0,,,,3.0,,,2.5,20.5
76,CRISCIO Martina,ITA,,,,,,1.0,6.0,3.0,,4.0,4.0,3.0,0.5,,,,,,20.0
77,PEREZ CUENCA Celia,ESP,,,,,,1.0,0.0,3.0,2.0,0.5,1.0,0.75,2.0,,6.0,,,5.0,20.0
78,DOSPAY Karina,KAZ,,,,,,1.0,3.0,1.5,,1.0,0.5,0.75,2.0,,,,6.0,5.0,19.5
79,WATOR Angelika,POL,,,,,,1.0,3.0,,1.0,4.0,0.25,,,,0.0,,,10.0,19.25
80,HERBON Felice,GER,,,0.25,,,0.5,3.0,6.0,0.5,0.5,1.0,3.0,1.0,,0.0,,,5.0,19.0
81,LISINA Alena,RUS,,,,,,1.0,1.5,0.75,1.0,1.0,14.0,0.75,0.25,,,,,,18.5
82,HERRERA LARA Luisa Fernanda,UZB,,0.5,,1.0,,1.0,0.75,1.5,0.0,,,3.0,0.5,,,,6.0,5.0,18.25
83,VONGSAVADY Malina,FRA,,,,,,4.0,1.5,3.0,4.0,,4.0,3.0,0.5,,,,,,18.0
84,LUPU Andreea,ROU,,,,,3.0,,,,,,0.25,0.0,,,12.0,,,2.5,17.75
85,CHOI Jiyoung,KOR,,,,,,,0.75,12.0,0.0,1.0,,3.0,1.0,,,,,,17.75
86,LEUNG Lok Man Laren,HKG,,,,,,0.5,0.75,3.0,1.0,2.0,1.0,0.0,2.0,,,,6.0,2.5,17.5
87,CORTEYN Jolien,BEL,,4.0,,,,0.5,1.5,0.0,2.0,,0.5,3.0,4.0,,0.0,,,2.5,17.0
88,PUSZTAI Liza,HUN,,,,,,2.0,3.0,1.5,4.0,2.0,1.0,3.0,2.0,,3.0,,,,17.0
89,KARIMOVA Sabina,AZE,,,,,0.25,2.0,0.75,,2.0,1.0,4.0,,2.0,,3.0,,,2.5,16.5
90,KLEIN Louise,FRA,,3.0,,,,2.0,3.0,6.0,2.0,,2.0,1.5,0.5,,,,,,16.0
91,KOBAYASHI Kanae,JPN,,,,,,2.0,3.0,3.0,2.0,1.0,0.25,6.0,1.0,,,,,,16.0
92,CIESLAR Julia,POL,,,,,,0.5,0.375,,0.5,4.0,1.0,,2.0,,3.0,,,5.0,16.0
93,COVALIU Amalia,ROU,,,,,0.5,2.0,,3.0,,,0.25,,,,,,,10.0,15.75
94,GUNGOR Nil,TUR,,,,1.0,,1.0,,,,2.0,0.5,,,,6.0,,,5.0,15.5
95,FUSEA Anastasia,ROU,,,,,0.5,1.0,,1.5,,,4.0,,,,6.0,,,2.5,15.5
96,APONTE Yesimar,VEN,,,,,,0.5,,,,,,,0.5,,,12.0,,2.5,15.5
97,LAU Yee Ching,HKG,,,,,,1.0,3.0,0.75,0.0,0.5,1.0,0.0,1.0,,,,6.0,2.5,15.25
98,MAXWELL Caitlin,GBR,,,0.25,,,0.0,6.0,1.5,,,2.0,,,,3.0,,,2.5,15.25
99,KESZEI Kira,HUN,,,,,,8.0,1.5,1.5,2.0,2.0,0.5,,1.0,,,,,,15.0
100,HEGAZY Alanoud,EGY,,,,,,,,,,,,,,12.0,,,,2.5,14.5
101,FUSETTI Carlotta,ITA,,,,,,2.0,1.5,1.5,0.0,4.0,4.0,3.0,0.5,,,,,,14.5
102,KOROLEVA Alina,RUS,,,,,,4.0,0.75,1.5,0.5,0.5,2.0,6.0,,,,,,,14.25
103,FUNKE Julika,GER,,,0.25,,,,1.5,,,,,,1.0,,6.0,,,5.0,13.75
104,CHU Wing Kiu,HKG,,,,,,0.5,0.75,3.0,0.5,2.0,1.0,1.5,0.5,,,,3.0,2.5,13.75
105,STEMPER Lena,GER,,1.0,0.25,,,1.0,3.0,1.5,0.5,1.0,0.5,,4.0,,3.0,,,0.0,13.5
106,LUSINIER Kelly,FRA,,,,,,0.5,3.0,3.0,1.0,,4.0,1.5,2.0,,,,,,13.5
107,WAKITA Jumi,JPN,,,,,,4.0,6.0,0.75,1.0,1.0,1.0,1.5,1.0,,,,,,13.5
108,KLIUCHNIKOVA Alina,RUS,,,,,,0.5,,3.0,2.0,2.0,,6.0,,,,,,,13.5
109,VALENTIN Heyddys,DOM,,,,,,,,,0.0,0.0,,,0.0,,,12.0,,1.25,13.25
110,CABEZAS Florencia,CHI,,,,,0.25,1.0,,,,0.0,,,0.0,,,12.0,,,13.25
111,CHADALAVADA ANANDHA SUNDHARARAMAN Bhavani Devi,IND,,,,3.0,,,,,,,,3.0,1.0,,,,6.0,,13.0
112,TAKAHASHI Chirika,JPN,,,,,,2.0,6.0,0.75,2.0,1.0,2.0,0.75,1.0,,,,,,13.0
113,ESPINOSA VELOSO Candela Belen,ARG,,,,,,,,,,,,,0.5,,,12.0,,,12.5
114,BORRELLI Catalina Sol,ARG,,,,,,,,,,,,,0.5,,,12.0,,,12.5
115,MANGA Alejandra,FRA,,,,,,,1.5,3.0,8.0,,,,,,,,,,12.5
116,MOUROUX Mathilde,FRA,,,,,,2.0,1.5,3.0,4.0,,2.0,,,,,,,,12.5
117,HUSEYNOVA Zarifa,AZE,,,,,1.0,0.0,0.375,,1.0,0.5,0.5,,1.0,,3.0,,,5.0,12.0
118,MOHAMED BELKEBIR Kaouther,ALG,,,,,,,,0.0,,,0.0,,,12.0,,,,0.0,12.0
119,DEMBELE Aichata,MLI,,,,,,,,,,,,,,12.0,,,,,12.0
120,THURGOOD Madison,CAN,,,,,,,,,0.0,,,,,,,12.0,,0.0,12.0
121,DIOP Awa,SEN,,,,,,,,,,,,,,12.0,,,,,12.0
122,ODERENI RAISHAT,CIV,,,,,,,,,,,,,,12.0,,,,,12.0
123,DIALLO Tening,SEN,,,,,,,,,,,,,,12.0,,,,,12.0
124,CAMARA NOURA LAETTIA MARIE CHRISTINE,CIV,,,,,,,,,,,,,,12.0,,,,,12.0
124,KIM Ha-Eun,KOR,,,,,,,,,,,,12.0,,,,,,,12.0
126,HRAMOVA Olga A.,BUL,,,,,,,,,,,,,2.0,,,,,10.0,12.0
127,PASSARO Eloisa,ITA,,,,,,2.0,1.5,3.0,2.0,2.0,2.0,3.0,1.0,,,,,,12.0
128,SHOKIROVA Samira,UZB,,,,0.5,,2.0,0.0,0.75,0.5,1.0,0.25,1.5,,,,,6.0,,11.75
129,WIECKIEWICZ Maria,POL,,,,,,1.0,0.75,,2.0,0.5,2.0,,0.5,,3.0,,,2.5,11.75
130,KIKUCHI Kokona,JPN,,,,,,1.0,3.0,3.0,2.0,2.0,1.0,1.5,0.5,,,,,,11.5
131,IVANOVA Beloslava,BUL,,,,1.0,1.0,0.5,0.75,6.0,2.0,0.0,0.5,,,,,,,,10.75
132,ARPINO Giulia,ITA,,0.0,,,,,,,,8.0,,1.5,1.0,,,,,,10.5
133,LIN Kesi,CHN,,,,,,,,,0.5,2.0,2.0,6.0,,,,,,,10.5
134,GARGANO Rebecca,ITA,,,,,,4.0,1.5,0.75,1.0,2.0,,,2.0,,,,,,10.5
135,LEE Jueun,KOR,,,,,,0.0,1.5,3.0,1.0,2.0,1.0,3.0,0.25,,,,,,10.5
136,DI CARLO Alessia,ITA,,,,,,1.0,3.0,3.0,1.0,,2.0,1.5,,,,,,,10.5
137,LEE Alexandra,USA,,,,,,1.0,3.0,1.5,2.0,,,3.0,,,,,,,10.5
138,JUMAMURATOVA Ayakoz,UZB,,,,,,,,,4.0,,0.5,0.75,,,,,,5.0,10.25
139,POZDNIAKOVA Sofia,RUS,,,,,,4.0,6.0,,,,,,,,,,,,10.0
140,XIAO Julie,CAN,,,,,,,,,,,1.0,,,,,6.0,,2.5,9.5
141,ZHANYBEK Kaisha,KAZ,,,,,,,,0.75,,,0.0,,,,,,6.0,2.5,9.25
142,GONTSOVA Daria,UKR,,,,,,0.5,0.75,,,0.5,2.0,,0.5,,,,,5.0,9.25
143,RIFKISS Margaux,FRA,,0.0,,,,,3.0,6.0,,,,,,,,,,,9.0
144,BUITENHUIS Marleen,NED,,0.0,0.5,,0.5,,1.5,,,,0.25,,,,6.0,,,,8.75
145,GUPTA Shreya,IND,,,,,,,,0.0,,0.0,0.25,,,,,,6.0,2.5,8.75
146,PEDRAZA Regina,MEX,,,,,,,,,0.0,,,,,,,6.0,,2.5,8.5
147,PHOKAEW Tonkhaw,THA,,,,,,,,,,,,0.0,,,,,6.0,2.5,8.5
148,LIU Binshu,CHN,,,,,,,1.5,,2.0,1.0,4.0,,,,,,,,8.5
149,TRANQUILLE Lola,FRA,,,,,,0.5,0.0,,,,,6.0,2.0,,,,,,8.5
150,GALLARDO Itziar,ESP,,,,,,0.5,0.75,3.0,0.5,0.5,2.0,0.75,2.0,,,,,,8.5
151,LIU Zhi Jun,CAN,,,,,,,,,1.0,,,,0.0,,,6.0,,1.25,8.25
152,KOROTCHENKO Viktoriia,UKR,,,,,1.0,0.5,,,0.5,,0.5,,0.5,,0.0,,,5.0,8.0
153,STRZALKOWSKI Aleksandra,USA,,,,,,2.0,0.75,1.5,0.25,1.0,,1.5,2.0,,,,,,8.0
154,MOCCI Vittoria,ITA,,,,,,1.0,,1.5,1.0,,2.0,1.5,2.0,,,,,,8.0
155,GETTE Elisabeth,GER,,,1.0,,,0.5,0.75,0.75,0.5,1.0,2.0,3.0,,,,,,,7.75
156,VENTURA Maria,ESP,,,,,,0.5,3.0,1.5,0.0,2.0,0.25,0.75,0.5,,,,,,7.75
157,SUTO Mitsuki,JPN,,,,,,4.0,0.75,0.75,0.5,,,1.5,,,,,,,7.5
158,LANDI Michela,ITA,,,,,,0.5,3.0,1.5,0.5,0.5,2.0,,,,,,,,7.5
159,TOBAR Fatima,ESA,,,,,,,,,,,,,0.0,,,6.0,,1.25,7.25
160,JEFARLIN J S,IND,,,,,,,0.0,,,0.0,,,,,,,6.0,1.25,7.25
161,MUNOZ Yolanda,CHI,,,,,0.25,0.5,,,,0.0,,,0.25,,,6.0,,,7.0
162,KOUROUSI Anna Kalliopi,GRE,,,,,0.25,0.25,1.5,0.0,0.5,,0.25,,,,3.0,,,1.25,7.0
163,BASHTA Anna,AZE,,,,,,,,,,2.0,0.25,,2.0,,0.0,,,2.5,6.75
164,KURZAWA Marisa Victoria,GER,,0.25,2.0,,,1.0,,,,,1.0,1.5,1.0,,,,,,6.5
165,HNIDASHEVA Valeriia,UKR,,0.5,,,0.25,,,,0.5,1.0,1.0,,,,3.0,,,,6.25
166,BELTRAN Alejandra,MEX,,,,,,,,,0.25,,,,,,,6.0,,,6.25
167,TAN Jermaine Ruo Ting,SGP,,0.0,,0.25,,,,0.0,,,,,,,,,6.0,,6.25
168,MOROS Andrea,VEN,,,,,,0.0,,,,0.0,,,0.25,,,6.0,,0.0,6.25
169,BELTRAN ROJAS Valentina,COL,,,,,,,,,,,,,0.25,,,6.0,,,6.25
170,PRIETO JIMENEZ Ariana,VEN,,,,,,0.0,,,,0.0,,,0.25,,,6.0,,,6.25
171,RIOUX Cyrielle,FRA,,,,,,,0.75,,1.0,,0.5,,4.0,,,,,,6.25
172,ANDRES Charmaine,USA,,,,,,2.0,1.5,,2.0,,,0.75,,,,,,,6.25
173,TROIS Karina,BRA,,,,,,,,,,,,,,,,6.0,,,6.0
174,PEKELMAN Luana,BRA,,,,,,,,,,,,,,,,6.0,,,6.0
175,FRAATZ Kreestel,GUA,,0.0,,,,,,,,,,0.0,,,,6.0,,,6.0
176,JI Young Kyoung,KOR,,,,,,,,,,,,6.0,,,,,,,6.0
177,FRAGA Ana Beatriz,BRA,,,,,,,,,,,,,,,,6.0,,,6.0
178,NICANOR Jylyn,PHI,,,,,,,,,,,,,,,,,6.0,0.0,6.0
179,CHAVEZ Vanessa,MEX,,,,,,,,,0.0,,,,,,,6.0,,0.0,6.0
180,BOSSAY Sofia,CHI,,,,,,,,,,,,,,,,6.0,,,6.0
181,DALMACIO Queen Denise,PHI,,,,,,,,,,,,,,,,,6.0,0.0,6.0
182,TANG Ka Yng Lorraine,AUS,,,,,,,,,,,,0.0,,,,,6.0,0.0,6.0
183,LEYVA VANEGAS Maria,COL,,,,,0.0,,,,,,,,0.0,,,6.0,,,6.0
184,KOZACZUK Malgorzata,POL,,,,,,1.0,3.0,,,2.0,,,,,,,,,6.0
185,KOVACS Sophia,USA,,,,,,,1.5,1.5,,1.0,1.0,,1.0,,,,,,6.0
186,YE Minhui,CHN,,,,,,,0.375,,1.0,1.0,2.0,1.5,,,,,,,5.875
187,D-SALLOWS Keira,GBR,,,,,,,0.75,1.5,,,1.0,,,,0.0,,,2.5,5.75
188,CHOI Hyejung,KOR,,,,,,0.0,0.75,1.5,1.0,1.0,,1.5,,,,,,,5.75
189,COUDERC Annah,FRA,,2.0,,,,1.0,1.5,,0.5,,0.5,,,,,,,,5.5
190,LIM Jae Jia En,SGP,,0.5,,0.5,,,,0.0,,,0.25,0.0,,,,,3.0,1.25,5.5
191,ROBINEAUX Rita,FRA,,,,,,,1.5,,,,,3.0,1.0,,,,,,5.5
192,LENKIEWICZ Zuzanna,POL,,,,,,1.0,1.5,,,1.0,2.0,,,,,,,,5.5
193,PASTUKHOVA Alina,RUS,,,,,,1.0,3.0,1.5,,,,,,,,,,,5.5
194,SHAN Yifan,CHN,,,,,,,,,0.5,4.0,,0.0,0.5,,,,,,5.0
195,LENTINI Francesca Romana,ITA,,,,,,,,,,1.0,,3.0,1.0,,,,,,5.0
196,SAYLES Nina,USA,,,0.5,,,0.5,,0.75,0.5,2.0,1.0,,0.5,,,,,,4.75
197,LU Vivian,USA,,,,,,0.5,1.5,,0.25,,1.0,0.75,1.0,,,,,,4.75
198,MALDONADO DELGADO Odalis Judith,ESA,,,,,,,,,0.0,,,,0.25,,,3.0,,1.25,4.5
199,TANZMEISTER Franziska,AUT,4.0,,,0.25,0.0,,,0.0,,,,,,,0.0,,,0.0,4.25
200,GREENBAUM Atara,USA,,,,,,0.0,0.75,3.0,,,,,0.5,,,,,,4.25
201,ITAHASHI Kanako,JPN,,,,,,1.0,1.5,0.0,,0.0,0.25,1.5,,,,,,,4.25
202,TSANG Yuet Ching,HKG,,,,,,1.0,0.75,1.5,0.25,,0.5,0.0,0.5,,,,,,4.25
203,BECHYNOVA Karolina,CZE,,1.0,0.5,,,,0.0,,,0.0,,,,,,,,2.5,4.0
204,ZINIUKHINA Mariia,RUS,,,,,,,,3.0,,,0.5,,0.5,,,,,,4.0
205,GRAUDINS Victoria,GER,,0.0,0.5,,,0.25,0.0,0.0,,0.5,2.0,,0.5,,,,,,3.75
206,HIRSCHFELD Anastasija,GER,,0.5,0.25,,,0.0,0.0,0.0,,1.0,2.0,,,,,,,,3.75
207,SIVA KUMAR Thhivya Ashti,SGP,,0.25,,0.25,,,,0.0,,,0.25,,,,,,3.0,0.0,3.75
208,POLLI Maria Clementina,ITA,,0.5,,,,,3.0,,,,,,,,,,,,3.5
209,ALDERETE CHAVEZ Ana Maria,COL,,,,,,,,,,,,,0.5,,,3.0,,,3.5
210,WOJCIK Gabriela,POL,,,,,,2.0,0.0,,0.25,,0.25,,1.0,,,,,,3.5
211,CORN Frida,AUT,2.0,0.0,0.0,0.25,0.25,0.0,,0.75,,,0.0,,,,,,,,3.25
212,GRAUDINS Catalin,GER,,0.5,0.5,,,,0.75,1.5,,,0.0,,,,,,,,3.25
213,JAKSYBAEVA Nargiza,UZB,,,,0.5,,1.0,,0.75,1.0,,,,,,,,,,3.25
214,SOMPHAO Arisara,THA,,,,,,,,,,,,0.75,,,,,0.0,2.5,3.25
215,SHAPOSHNIKOVA Zlata,RUS,,,,,,,,,,2.0,0.25,,1.0,,,,,,3.25
216,AAKHRI Aakhri,IND,,,,,,,,,,2.0,,,,,,,,1.25,3.25
217,RAZGUTE Giedre,LTU,3.0,,,,,,,,,,,,,,,,,,3.0
217,FUSETTI Benedetta,ITA,,,3.0,,,,,,,,,,,,,,,,3.0
219,MASA Csenge,HUN,,,1.0,,,,0.0,1.5,,,0.5,,,,,,,,3.0
220,COLON Aydill Marie,PUR,,,,,,,,,,,0.0,,0.0,,,3.0,,,3.0
221,TEEKA Kanrawee,THA,,,,,,,,,,,,0.0,,,,,3.0,,3.0
222,GARCIA DIAZ Amelia Julissa,NCA,,,,,,,,,,,,,,,,3.0,,,3.0
223,VIEIRA Camila,BRA,,,,,,,,,,,,,,,,3.0,,,3.0
224,MARTINEZ DE LOS SANTOS Melody Rochell,DOM,,,,,,,,,0.0,0.0,,,0.0,,,3.0,,,3.0
225,BAEZ FELICIANO Sophia,PUR,,,,,,,,,,,,,0.0,,,3.0,,,3.0
226,QUIROGA Flavia,BOL,,,,,,,,,,,,,,,,3.0,,,3.0
227,DOMONKOS Emese,HUN,,,,,,,1.5,1.5,,,,,,,,,,,3.0
228,MA Caoqian,CHN,,,,,,,0.0,,0.5,1.0,,1.5,,,,,,,3.0
229,TSUI Natalie,USA,,,,,,,,1.5,1.0,,0.5,,,,,,,,3.0
230,MELNYCHUK Yelyzaveta,UKR,,,,,,,0.375,,1.0,,0.5,,1.0,,,,,,2.875
231,SOBAL Yana,BLR,,,,,,2.0,,0.75,,,,,,,0.0,,,,2.75
232,MARTIS Sabina,ROU,,,,,2.0,,,,,,0.5,,,,,,,,2.5
233,KOVACS Zsanett,HUN,,,0.25,,,,1.5,0.75,,,0.0,,,,,,,,2.5
234,WONGTHONGSRI Peempat,THA,,,,,,,,,,,,0.0,,,,,0.0,2.5,2.5
235,JOSHI Shruti,IND,,,,,,,,,,,,,,,,,0.0,2.5,2.5
236,CHART Maria,GBR,,,,,,,0.0,1.5,,0.0,,,1.0,,0.0,,,0.0,2.5
