Rank,Name,Nat.,")AS(
amanaM
90/60",")AS(
araosimiT
90/12",")AS(
madretsmA
90/82",")AS(
orienaJ
ed
oiR
01/50",")AS(
eropagniS
01/21",")AS(
niromaS
01/81",")AS(
enolecraB
01/52",")A(
acrollaM
ed
amlaP
11/60",")A(
nasuB
21/50",")A(
gnoK
gnoH
10/90",")PG(
niruT
20/50",")PG(
amiL
30/12",")A(
oriaC
40/71",")A(
lubnatsI
50/10",")PG(
iahgnahS
50/61",")ZHC(
najdibA
60/10",")ZHC(
amiL
60/51",")ZHC(
ynotnA
60/71",")ZHC(
ihleD
60/91",")MHC(
gnoK
gnoH
70/42",Points
20,HAYES Nadia,CAN,,,,,,,,2.0,0.5,2.0,,3.0,,1.0,6.0,,21.0,,,35.0,70.0
21,MIYAWAKI Karin,JPN,,,,,,,,0.0,0.5,14.0,21.0,6.0,1.0,4.0,21.0,,,,,,66.0
22,PARK Jihee,KOR,,,,,,,,0.5,4.0,8.0,12.0,6.0,4.0,0.5,0.75,,,,12.0,20.0,66.0
23,MO Byeoli,KOR,,,,,,,,2.0,2.0,0.5,21.0,12.0,0.5,1.0,1.5,,,,21.0,5.0,64.5
24,CHAN Nok Sze Daphne,HKG,,,,,,,,2.0,2.0,2.0,6.0,6.0,4.0,2.0,1.5,,,,30.0,10.0,60.0
25,SENIC Adeline,MDA,,,1.0,,,,,2.0,1.0,2.0,,12.0,4.0,4.0,6.0,,,12.0,,20.0,60.0
26,CONWAY Josephina,USA,,,,,,,,8.0,2.0,8.0,6.0,3.0,4.0,1.0,0.75,,21.0,,,10.0,60.0
27,MYRONIUK Dariia,UKR,,3.0,,,,2.0,,1.0,1.0,4.0,21.0,3.0,2.0,0.5,1.5,,,21.0,,5.0,59.0
28,LACHERAY Eva,FRA,,,,,,,,8.0,2.0,2.0,6.0,12.0,14.0,8.0,6.0,,,6.0,,5.0,59.0
29,PATRU Morgane,FRA,,,,,,,,4.0,4.0,20.0,6.0,6.0,2.0,2.0,6.0,,,6.0,,10.0,58.0
30,MARINO Maria,ESP,,,,,,,0.25,1.0,8.0,4.0,0.75,3.0,2.0,4.0,3.0,,,30.0,,5.0,57.0
31,SINIGALIA Martina,ITA,,,,,,,,14.0,2.0,14.0,21.0,3.0,4.0,4.0,3.0,,,,,,57.0
32,AMR HOSSNY Sara,EGY,,,,,,,,0.25,,,0.75,3.0,,,,48.0,,,,0.0,52.0
33,TAKEYAMA Yuzuha,JPN,,,,,,,,2.0,2.0,4.0,12.0,6.0,8.0,4.0,21.0,,,,,,51.0
34,KONDRICZ Kata,HUN,,,,,,0.5,,2.0,2.0,2.0,1.5,12.0,4.0,14.0,1.5,,,6.0,,10.0,50.0
35,LIU Jaelyn,USA,,,,,,,,2.0,2.0,4.0,12.0,3.0,2.0,4.0,6.0,,,,,20.0,49.0
36,EBERT Leonie,GER,,,,,,,,,,,0.75,21.0,1.0,4.0,6.0,,,6.0,,10.0,48.75
37,PALUMBO Francesca,ITA,,,,,,,,8.0,4.0,26.0,,,2.0,4.0,6.0,,,,,,48.0
38,ESTEBAN Maxine Isabel,CIV,2.0,,,2.0,,,0.25,1.0,0.0,0.5,0.75,1.5,0.5,0.0,,39.0,,,,,46.25
39,LUNG Katerina,USA,,,,,,,,1.0,8.0,1.0,,30.0,4.0,2.0,,,,,,,45.0
40,THIBUS Ysaora,FRA,,,,,,,,4.0,2.0,14.0,3.0,6.0,8.0,4.0,3.0,,,6.0,,2.5,44.5
41,MORANDI Carlotta,GER,,,0.5,,,1.0,,2.0,2.0,4.0,3.0,12.0,4.0,2.0,1.5,,,12.0,,5.0,42.0
42,FU Yingying,CHN,,,,,,,,,2.0,1.0,,,0.5,0.25,6.0,,,,21.0,10.0,40.75
43,KLEIBRINK Anne,GER,,,,,,,,14.0,4.0,4.0,6.0,12.0,,,,,,,,,40.0
44,BERTINI Irene,ITA,,,,,,,1.0,2.0,8.0,0.5,6.0,21.0,2.0,,,,,,,,39.0
45,JAKUBOWSKA Marta,POL,,,,,,,,0.5,0.25,,,,20.0,1.0,,,,12.0,,5.0,38.75
46,HUANG Qianqian,CHN,,,,,,,,,,,,,8.0,2.0,6.0,,,,12.0,10.0,38.0
47,CHENG Hiu Wai Valerie,HKG,,,,,,,,1.0,0.25,1.0,3.0,6.0,1.0,0.5,1.5,,,,21.0,2.5,36.0
48,PAPP Jazmin,HUN,,0.25,,,,0.25,,4.0,0.5,2.0,1.5,,1.0,0.25,,,,21.0,,5.0,35.0
49,GUO Jessica Zi Jia,CAN,,,,,,,,,,,,,,,3.0,,12.0,,,20.0,35.0
50,ZHANG Siqi,CHN,,,,,,,,,0.25,2.0,12.0,,2.0,1.0,6.0,,,,6.0,5.0,34.0
51,SOUSSI Yasmine,TUN,,,,,,,,,,,,,,,,30.0,,,,2.5,32.5
52,ZHANG Yunjia,CAN,,,,,,,,,2.0,1.0,,,,2.0,3.0,,21.0,,,2.5,31.5
53,SIM Soeun,KOR,,,,,,,,4.0,4.0,2.0,0.0,3.0,1.0,0.25,1.5,,,,12.0,5.0,31.5
54,PETROVA Kristina,UKR,,,0.5,,,3.0,,1.0,4.0,2.0,,,2.0,2.0,3.0,,,12.0,,5.0,31.0
55,BLAZE Anita,FRA,,,,,,,,4.0,1.0,2.0,,3.0,8.0,4.0,12.0,,,,,,31.0
56,HANY Noha,EGY,,,,,,,,,,,,,0.5,,,30.0,,,,0.0,30.5
57,LEE Sejoo,KOR,,,,,,,,0.5,1.0,1.0,1.5,3.0,1.0,0.5,12.0,,,,6.0,5.0,29.5
58,SOLOVEVA Anna,RUS,,,,,3.0,,,2.0,2.0,1.0,0.75,,4.0,8.0,1.5,,,,,10.0,29.0
59,LEUNG Ya Lei Janelle,HKG,,,,,,,,,,0.25,1.5,1.5,2.0,0.5,1.5,,,,12.0,10.0,29.0
60,FERRARI Carlotta,ITA,,,4.0,,,,3.0,8.0,4.0,2.0,3.0,3.0,2.0,8.0,3.0,,,,,,27.0
61,BULCAO Ana Beatriz,BRA,,,,4.0,,,,1.0,,,1.5,1.5,2.0,1.0,,,12.0,,,5.0,27.0
62,GRANDIS Aurora,ITA,,,,,,,2.0,2.0,2.0,4.0,3.0,6.0,2.0,2.0,12.0,,,,,,27.0
63,RHODES Zander,USA,,,,,,,,4.0,14.0,2.0,,,4.0,2.0,1.5,,,,,,26.0
64,TUCKER Ariadna,ESP,,,,,,,0.25,2.0,1.0,2.0,12.0,,1.0,4.0,,,,0.0,,5.0,26.0
65,BERTHIER Amita,SGP,,,,,2.0,,,4.0,0.5,4.0,0.75,,2.0,4.0,3.0,,,,6.0,2.5,25.5
66,NAGASE Rino,JPN,,,,,,,,1.0,2.0,4.0,3.0,1.5,2.0,14.0,0.75,,,,,,25.0
67,NAYL Emmie,FRA,,,0.5,,,,0.5,8.0,2.0,1.0,1.5,3.0,8.0,1.0,3.0,,,,,,24.0
68,CATANTAN Samantha Kyle,PHI,,,0.25,,,,0.0,2.0,,0.5,3.0,,,,,,,,12.0,5.0,22.75
69,AKTAYEVA Sofiya,KAZ,,,,,,,,0.5,1.0,0.5,0.375,,,0.5,3.0,,,,12.0,5.0,22.5
70,KHALED Lojain,EGY,,,,,,,,,,,,,0.0,,,21.0,,,,1.25,22.25
71,DIAZ Maria Teresa,ESP,,,,,,,0.25,2.0,2.0,4.0,3.0,3.0,2.0,2.0,1.5,,,3.0,,5.0,22.0
72,LUPKOVICS Dora,HUN,,,,,,0.5,,4.0,,,0.75,3.0,4.0,1.0,1.5,,,3.0,,5.0,21.5
73,KONTOCHRISTOPOULOU Aikaterini-Maria,GRE,,,,,,,,1.0,,0.5,1.5,,0.5,1.0,1.5,,,6.0,,10.0,21.5
74,ZEBOUDJ Sonia,ALG,,,,,,,,,,,,,,,,21.0,,,,0.0,21.0
75,CHEUNG Kemei,SGP,,,,,1.0,,,2.0,1.0,1.0,1.5,,1.0,,0.0,,,,12.0,2.5,21.0
76,COLY Safietou Inna Namiya,SEN,,,,,,,,,,,,,,,,21.0,,,,0.0,21.0
77,REBOLLEDO Melissa,MEX,,,,,,,,,,,,0.0,,,,,21.0,,,,21.0
78,MC CABE Sacha,RSA,,,,,,,,,,,,,,,,21.0,,,,,21.0
79,CATARZI Constance,FRA,,,,,,,,4.0,4.0,4.0,3.0,6.0,1.0,2.0,3.0,,,,,,21.0
80,MOLINARI Matilde,ITA,,,,,,,,,,,1.5,12.0,2.0,2.0,3.0,,,,,,20.5
81,WONG Maxine Jie Xin,SGP,,,,,0.5,,,0.25,1.0,1.0,3.0,,1.0,0.0,3.0,,,,6.0,5.0,20.0
82,VOLOBUEVA Polina,UZB,,,,,,,,,,,,3.0,0.5,0.5,0.0,,,,6.0,10.0,20.0
83,MAMEDOVA Aila,RUS,,,,,1.0,,,0.25,0.0,0.0,0.75,,0.5,4.0,0.0,,,3.0,,10.0,19.5
84,WALCZYK-KLIMASZYK Julia,POL,,,,,,,,,,,1.5,,0.5,1.0,,,,6.0,,10.0,19.0
85,SONG Yue,CHN,,,,,,,,,1.0,1.0,,,1.0,2.0,3.0,,,,6.0,5.0,19.0
86,CIPRESSA Erica,FRA,,,,,,,,,,,6.0,6.0,2.0,2.0,3.0,,,,,,19.0
87,KIRSCHEN Kim,GER,,,,,,0.25,0.25,0.5,0.5,0.5,1.5,,1.0,0.5,0.75,,,12.0,,2.5,18.75
88,CALISSI Olga Rachele,CAM,,,,,,,,,,,1.5,,,,,,,,12.0,5.0,18.5
89,CANDESCU Rebeca,ROU,,,,,,,,2.0,,1.0,6.0,3.0,,0.5,,,,6.0,,,18.5
90,CASTRO Ariadna,ESP,,,,,,,0.5,8.0,0.5,1.0,0.75,0.0,0.5,2.0,0.375,,,6.0,,,18.25
91,LEUNG Yan Kiu Zareena,HKG,,,,,,,,,0.25,1.0,3.0,,2.0,1.0,1.5,,,,6.0,2.5,17.0
92,KANO Minami,JPN,,,,,,,,,8.0,1.0,0.75,6.0,0.5,1.0,0.75,,,,,,16.75
93,BLAZIC Dorja,CRO,4.0,,,3.0,,0.5,,0.25,,0.5,1.5,1.5,1.0,0.5,,,,3.0,,2.5,16.5
94,BRUGGER Lilli Maria,AUT,,,,,,2.0,1.0,1.0,0.0,1.0,0.75,1.5,,2.0,1.5,,,6.0,,2.5,16.5
95,TANGHERLINI Elena,ITA,,,,,,,,2.0,4.0,2.0,6.0,1.5,1.0,2.0,0.75,,,,,,16.0
96,PISTOIA Mariana,BRA,,,,0.5,,,,,,,,3.0,0.0,,,,12.0,,,,15.5
97,INOSTROZA Arantza,CHI,,,,1.0,,,,,,,,1.5,0.5,0.25,,,12.0,,,,15.25
98,ZURAWSKA Karolina,POL,,1.0,,,,,0.25,0.25,0.5,0.5,3.0,,2.0,0.5,,,,3.0,,5.0,15.0
99,SCHREIBER Miriam,SWE,,2.0,0.0,,,,0.0,4.0,0.0,0.5,3.0,1.5,0.0,1.0,0.75,,,3.0,,0.0,14.5
100,MANRIQUE GRIMAN Barbara,VEN,,,,,,,,0.0,,,,,,0.0,,,12.0,,,2.5,14.5
101,LORENZI Margherita,ITA,,,,,,4.0,1.0,,,,3.0,6.0,,,,,,,,,14.0
102,DINCA Andreea,ROU,,,0.0,,,0.5,,1.0,2.0,0.5,0.0,,0.5,1.0,0.75,,,6.0,,2.5,13.75
103,TORRES Jimena,MEX,,,,,,,,,,,,1.5,,,,,12.0,,,0.0,13.5
104,WEINTRAUB Maia Mei,USA,,,,,,,,1.0,8.0,2.0,,,,1.0,1.5,,,,,,13.5
105,KANO Arisa,JPN,,,,,,,,4.0,1.0,2.0,3.0,1.5,1.0,0.5,3.0,,,,,,13.5
106,CHO Rebecca,USA,,,,,,,,,1.0,,3.0,6.0,2.0,0.5,1.5,,,,,,13.5
107,KURITZKY Gili,ISR,,,,,,,,2.0,1.0,2.0,,,,,,,,3.0,,5.0,13.0
108,CHALDAIOU Maria-Eleni,GRE,,,,,,,,1.0,,,0.375,,0.0,0.5,0.0,,,6.0,,5.0,12.875
109,GIMENEZ Isis,VEN,,,,,,,,0.25,,,,,,,,,12.0,,,0.0,12.25
110,TANTAST Yasmine,ALG,,,,,,,,,,,,,,,,12.0,,,,,12.0
111,MECHEREK Nour El Eslam,TUN,,,,,,,,,,,,,,,,12.0,,,,0.0,12.0
112,WAHBA Fatema,EGY,,,,,,,,,,,,,0.0,,,12.0,,,,,12.0
113,AHOUMA Grace Sephora,CIV,,,,,,,,,,,,,,,,12.0,,,,,12.0
114,LAMBERT Lisa,RSA,,,,,,,,,,,,,,,,12.0,,,,,12.0
115,LAMEGA Rose Desserama,TOG,,,,,,,,,,,,,,,,12.0,,,,,12.0
115,KOFFI Enni Jennifer Danielle,CIV,,,,,,,,,,,,,,,,12.0,,,,,12.0
117,QUIROGA VARELA Dennis Juliana,COL,,,,,,,,,,,,,,,,,12.0,,,,12.0
118,ANASCHENKOVA Vitalina,RUS,,,,,,,,2.0,1.0,0.5,0.375,,1.0,2.0,6.0,,,,,,12.0
119,TSANG Amelie,GBR,,,0.5,,,,,1.0,,0.5,1.5,,,,,,,3.0,,5.0,11.5
120,YANG Chin Man,TPE,,,,,0.5,,,2.0,0.5,0.5,0.75,3.0,0.0,,0.75,,,,3.0,1.25,11.25
121,CORBU Emilia,ROU,,1.0,0.5,,,0.0,,1.0,0.5,1.0,0.75,,1.0,1.0,0.75,,,6.0,,,11.0
122,ACURERO GONZALEZ Anabella,VEN,,,,,,,,,,,,,,0.0,,,6.0,,,5.0,11.0
123,CHENG Hsin,TPE,,,,,0.25,,,0.5,2.0,0.0,0.75,1.5,0.0,,0.0,,,,6.0,,11.0
124,GEBALA Gabrielle Grace,USA,,,,,,,,0.5,4.0,1.0,3.0,1.5,0.5,1.0,1.5,,,,,,11.0
125,BEZNOSIKOVA Anastasia,RUS,,,,,,,,4.0,0.5,0.5,1.5,,,2.0,3.0,,,,,,11.0
126,TING Ju-Hsuan,TPE,,,,,0.25,,0.5,0.25,0.25,0.25,0.375,0.0,0.5,,0.75,,,,6.0,2.5,10.875
127,CATANTAN Sophia Shekainah,PHI,,,,,2.0,,,,,0.0,,,,,,,,,6.0,2.5,10.5
128,IWAMOTO Reina,JPN,,,,,,,,2.0,2.0,0.5,1.5,3.0,0.0,2.0,,,,,,,10.5
129,ROGER Garance,FRA,,,,,,,,0.25,0.5,1.0,1.5,3.0,1.0,2.0,3.0,,,,,,10.5
130,KIM Hoyeon,KOR,,,,,,,,0.5,0.5,2.0,3.0,0.0,0.5,2.0,3.0,,,,,,10.5
131,AUDIBERT Alicia,FRA,,,1.0,,,,0.5,,,1.0,0.75,3.0,0.5,2.0,3.0,,,,,,10.0
132,ILLEKOVA Michala,CZE,,,0.0,,,0.5,0.25,1.0,,,3.0,,,,,,,0.0,,5.0,9.75
133,ZAGIDULLINA Adelina,RUS,,,,,,,,,,,,,4.0,2.0,0.75,,,3.0,,,9.75
134,KOREN Lihy Peer,ISR,,,,,,,,1.0,0.0,0.25,,,,,,,,6.0,,2.5,9.75
135,GUERRA ACOSTA Laura Julieth,COL,,,,,,,0.0,0.0,,,0.375,,0.5,0.25,,,6.0,,,2.5,9.625
136,PANTANETTI Benedetta,ITA,,,3.0,,,,0.5,,,,6.0,,,,,,,,,,9.5
137,MORALES Georgina,MEX,,,,,,,,,,,,0.75,,,,,6.0,,,2.5,9.25
138,CANTUCCI Gaia,SVK,,,,,,,,0.0,0.25,,0.375,,0.0,0.5,0.0,,,3.0,,5.0,9.125
139,NG Chloe Wanyi,SGP,,,,,0.5,,,0.5,0.5,0.0,0.75,,0.25,,0.75,,,,6.0,,9.0
140,DEVORE Delphine,USA,,,,,,,,0.25,0.5,2.0,,3.0,0.0,2.0,1.5,,,,,,9.0
141,PROESTAKIS Katina,CHI,,,,,,,,,,,,,,,,,6.0,,,2.5,8.5
142,KANUPRIYA Chawla,IND,,,,,,,0.0,,,,,,,,0.0,,,,6.0,2.5,8.5
143,SANTIBANEZ Rafaela,CHI,,,,1.0,,,,,,,,0.0,,0.0,,,6.0,,,1.25,8.25
144,TOLDO Ana,BRA,,,,0.5,,,,,,,,1.5,0.0,0.25,,,6.0,,,,8.25
145,ROUSSEAU Marion,FRA,,,,,,,,2.0,2.0,2.0,0.375,1.5,0.5,,0.0,,,,,,8.0
146,KOZAEVA Polina,RUS,,,,,,,,2.0,2.0,0.25,0.75,,,,3.0,,,,,,8.0
147,LEE Alina,TPE,,,,,,,,1.0,0.0,,,,0.5,,,,,,6.0,0.0,7.5
148,SORIANO Mariana,PER,,,,,,,,,,,,1.5,,,,,6.0,,,,7.5
149,ZHUANG Xinyi,CHN,,,,,,,,1.0,4.0,0.5,1.5,,,0.5,0.375,,,,,,7.5
150,PRIETO Tatiana,COL,,,,,,,,0.0,,,,1.5,,,,,6.0,,,,7.5
151,HO Sejin,KOR,,,,,,,,2.0,2.0,1.0,0.375,,,1.0,1.5,,,,,,7.5
152,OLSZEWSKA Amelia,POL,,,,,,,,0.0,1.0,,3.0,,1.0,0.0,,,,0.0,,2.5,7.5
153,KOLLAR Anna,HUN,,,,,,0.5,,2.0,,2.0,1.5,,1.0,0.5,,,,,,,7.0
154,RIZZAL Surayya,MAS,,,,,0.25,,,,,,,,,,0.75,,,,6.0,0.0,7.0
155,HAN Xiaoxuan,CHN,,,,,,,,,,2.0,,,1.0,1.0,3.0,,,,,,7.0
156,COLLINI Greta,ITA,,,2.0,,,0.25,,,,,1.5,,,,3.0,,,,,,6.75
157,KAGAN TYAGUNOV May,ISR,,,,,,,0.0,0.5,0.25,0.5,,,,,,,,3.0,,2.5,6.75
158,GLASSON Sophia,AUS,,,,,,,,,0.0,0.5,0.0,,,,0.75,,,,3.0,2.5,6.75
159,AYE Keren,FRA,,,,,,,,,,0.25,3.0,,1.0,1.0,1.5,,,,,,6.75
160,KOTHIERINGER Anna Sophie,GER,,,1.0,,,0.0,0.0,0.5,0.5,2.0,0.0,,1.0,1.0,1.5,,,,,,6.5
161,VIANNA Gabriella,BRA,,,,0.5,,,,,,,,0.0,,,,,6.0,,,,6.5
162,MATSUYAMA Aleksandra,POL,,,,,,,,,,2.0,1.5,1.5,0.5,1.0,,,,,,,6.5
163,GOOR Viviene,USA,,,,,,,,,,,3.0,1.5,2.0,,,,,,,,6.5
164,GNOYEVA Alyona,KAZ,,,,,,,,,0.0,,0.0,,,,0.375,,,,6.0,0.0,6.375
165,MONTECINOS Lisa,CHI,,,,2.0,,0.0,0.25,0.0,,,,1.5,0.0,0.0,,,0.0,,,2.5,6.25
166,GABOLA Letizia,ITA,,,,,,0.25,,,,,6.0,,,,,,,,,,6.25
167,SUN Yidan,CHN,,,,,,,,,2.0,2.0,,,0.5,0.25,1.5,,,,,,6.25
168,WANG Yuting,CHN,,,,,,,,,2.0,0.5,,,2.0,0.25,1.5,,,,,,6.25
169,AMORE Giulia,ITA,,,,,,,0.5,,4.0,0.5,0.0,,,1.0,,,,,,,6.0
170,ROSALES Kusi,PER,,,,,,,,,,,,0.0,,,,,6.0,,,,6.0
171,HOEFLER Marie,GER,,,0.25,,,0.0,0.0,0.25,0.5,1.0,1.5,0.0,0.25,1.0,0.75,,,0.0,,1.25,6.0
172,AVELLEIRA Hillary,VEN,,,,,,,,0.0,,,,,,,,,6.0,,,,6.0
173,REBOLLEDO Alondra,MEX,,,,,,,,,,,,0.0,,,,,6.0,,,,6.0
174,LUO Ziyue,CHN,,,,,,,,,,,,6.0,,,,,,,,,6.0
175,ESPINOZA ROQUEZ Daniela Luciana,ARG,,,,,,,,,,,,0.0,,,,,6.0,,,,6.0
176,CHOI Minseo,KOR,,,,,,,,0.0,0.0,,,,,,6.0,,,,,,6.0
177,FUENTES HENRIQUEZ Ariana Belen,ESA,,,,,,,,,,,,,,,,,6.0,,,0.0,6.0
178,VARGAS Alisson,GUA,,,,,,,,,,,,,,,,,6.0,,,,6.0
179,LEUNG Rianne,AUS,,,,,,,,,,0.0,,,,,,,,,6.0,0.0,6.0
180,BRAVO Astrid,PER,,,,,,,,,,,,0.0,,,,,6.0,,,,6.0
181,KOROBEYNIKOVA Larisa,RUS,,,,,,,,,,,,,2.0,1.0,3.0,,,,,,6.0
182,JIAO Enqi,CHN,,,,,,,,,1.0,2.0,,,0.0,0.0,3.0,,,,,,6.0
183,HONG Hyo Jin,KOR,,,,,,,,,0.5,2.0,,3.0,0.5,,,,,,,,6.0
184,VOLSKAIA Arina,RUS,,,,,,,,,,,,,2.0,1.0,3.0,,,,,,6.0
185,TARANENKO Anna,UKR,,0.5,0.25,,,0.25,,0.25,1.0,0.0,0.375,,2.0,2.0,,,,,,,5.875
186,XUE Kirsty,AUS,,,,,,,,,0.25,,,,,,,,,,3.0,2.5,5.75
187,CHAN Ho Ting Ruby,NZL,,,,,,,,,0.0,0.0,0.0,,,,0.75,,,,,5.0,5.75
188,KUAN Yu Ching,HKG,,,,,,,,0.25,1.0,1.0,1.5,1.5,0.0,0.0,0.75,,,,,,5.75
189,BRETEAU Andrea,ESP,,,,,,,0.0,0.0,0.0,0.5,0.375,0.0,1.0,0.5,0.75,,,,,2.5,5.625
190,BUDENKO Kateryna,UKR,,2.0,,,,,,0.5,2.0,0.5,0.0,,0.0,0.5,,,,,,,5.5
191,BIANCHIN Elisabetta,ITA,,1.0,,,,0.5,1.0,,,,3.0,,,,,,,,,,5.5
192,MALYSHEVA Daria,ARM,,,,,,,,,,,,,,,,,,3.0,,2.5,5.5
193,MURALIDHARAN Mayuri,AUS,,,,,,,,,,0.0,,,,,,,,,3.0,2.5,5.5
194,COJOCARI Maria,MDA,,,,,,,,,,,0.75,,,0.5,,,,3.0,,1.25,5.5
195,CARIDE Marta,POR,,,,,,,,,,,,,,,,,,3.0,,2.5,5.5
196,WU Sophia,HKG,,,,,,,,1.0,0.5,0.5,0.375,1.5,0.5,1.0,1.5,,,,,,5.5
197,KU Hio Lam,MAC,,,,,,,,,,,,,,,0.375,,,,,5.0,5.375
198,CIAMPALINI Vittoria,ITA,,,2.0,,,0.0,0.25,,,,3.0,,,,,,,,,,5.25
199,NUMATA Misaki,JPN,,,,,,,,,,,,,2.0,,3.0,,,,,,5.0
200,IIMURA Ayano,JPN,,,,,,,,1.0,1.0,0.0,,3.0,0.0,0.0,,,,,,,5.0
201,SUN Chloe,USA,,,,,,,,,,,,0.0,4.0,,0.75,,,,,,4.75
202,WOLF Eszter,HUN,,,,,,0.25,0.25,2.0,0.25,0.25,0.0,1.5,0.5,,,,,,,,4.5
203,LONGTHONG Naramol,THA,,,,,0.25,,,,,,,,,,0.0,,,,3.0,1.25,4.5
204,LYCZBINSKA Hanna,POL,,,,,,,,0.5,,2.0,0.0,,2.0,0.0,,,,,,,4.5
205,SHI Yue,CHN,,,,,,,,,2.0,1.0,,,1.0,0.5,0.0,,,,,,4.5
206,ANDREYENKA Hanna,BLR,,,,,,,,0.5,,1.0,,3.0,,,,,,,,,4.5
207,WANG Yixi,CHN,,,,,,,,,,,3.0,1.5,,,,,,,,,4.5
208,KUS Natasza,POL,,,0.25,,,,,0.5,0.0,0.0,1.5,,1.0,1.0,,,,,,,4.25
209,ORTIZ SANCHEZ Camila Alexandra,ECU,,,,,,,,,,,,0.0,,,,,3.0,,,1.25,4.25
210,NAOREM Mina Devi,IND,,,,,,,0.0,,,,,,,,0.0,,,,3.0,1.25,4.25
211,SHIN Minchae,KOR,,,,,,,,,1.0,,,,,,3.0,,,,,,4.0
212,MANCINI Camilla,ITA,,,,,,0.25,0.5,1.0,,0.5,1.5,,,,,,,,,,3.75
213,CALVANESE Matilde,ITA,,,0.5,,,,0.25,,,,3.0,,,,,,,,,,3.75
214,ALBLOOSHI Alhayam,UAE,0.5,,,,,,,,,,,,0.0,0.0,,,,,3.0,,3.5
215,CATANTAN Janna Allysah,PHI,,,,,0.25,,,,,0.25,,,,,,,,,3.0,0.0,3.5
216,SHINNAKERDCHOKE Chayanutphat,THA,,,,,,,,0.5,,,,,,0.0,,,,,3.0,,3.5
217,AZUMA Rio,JPN,,,,,,,,,,,,1.5,,2.0,,,,,,,3.5
218,ZHU Linlin,CHN,,,,,,,,,,,,,,0.5,3.0,,,,,,3.5
219,WANG Yiran,CHN,,,,,,,,,2.0,,,,,,1.5,,,,,,3.5
220,LEE Stephanie Tingyi,SGP,,,,,1.0,,,,1.0,0.0,0.0,,1.0,,0.375,,,,,0.0,3.375
221,PINNA Vittoria,ITA,,,,,,0.25,,,,,3.0,,,,,,,,,,3.25
