Rank,Name,Nat.,21/09 Belgrade (SA),28/09 Gand (SA),05/10 Genève (SA),12/10 Split (SA),19/10 Dublin (SA),26/10 Barcelone (SA),04/12 Vancouver (A),08/01 Fujairah (A),23/01 Doha (GP),06/02 Wuxi (A),27/03 Astana (A),17/04 Budapest (GP),09/05 Medellín (GP),22/05 St-Maur (A),02/06 Abidjan (CHZ),17/06 Lima (CHZ),18/06 Antony (CHZ),21/06 Delhi (CHZ),22/07 Hong Kong (CHM),Total points
37,RUSTAMOVA Anastasiia,RUS,,,,,,,,,,,,3.0,,2.0,,,3.0,,35.0,43.0
38,PROSINA Sofija,LAT,,,,,,0.5,,,,,,30.0,,0.25,,,12.0,,,42.75
39,NABETH Camille,FRA,,,,,,,8.0,1.0,12.0,4.0,0.0,6.0,12.0,0.5,,,,,,42.0
40,JASZ-BORSODY Emma,HUN,1.0,,,,,,1.0,0.25,12.0,0.5,0.25,12.0,,1.0,,,12.0,,2.5,41.5
41,SERSOT Jade,FRA,,,,,,,0.0,1.0,12.0,14.0,2.0,3.0,6.0,2.0,,,,,,37.0
42,YASINSKAYA Kristina,RUS,,,,,,,2.0,0.25,3.0,2.0,0.5,6.0,,2.0,,,12.0,,10.0,37.0
43,HESS SANCHO Gala,GER,,2.0,,,,,2.0,2.0,1.5,,0.25,0.375,3.0,0.25,,,6.0,,20.0,36.5
44,KISHIMOTO Rin,JPN,,,,,,,0.5,0.5,3.0,0.5,0.5,0.75,,0.25,,,,21.0,10.0,36.25
45,CONRAD Emily,UKR,,,1.0,0.5,,,14.0,0.5,3.0,,0.5,6.0,,,,,,,10.0,34.5
46,FAVRE Aurore,SUI,,,0.25,,,,2.0,2.0,3.0,1.0,4.0,6.0,3.0,0.25,,,6.0,,10.0,34.0
47,EHAB Nardin,EGY,,,,,,,,0.25,,,,,,,30.0,,,,2.5,32.75
48,DI TELLA Isabel,ARG,,,,,,,,,,,0.25,3.0,3.0,0.5,,21.0,,,5.0,32.75
49,HATZ Fiona,SUI,,,0.5,,,,1.0,0.5,3.0,14.0,1.0,1.5,6.0,0.5,,,6.0,,1.25,32.75
50,YIN Julia,CAN,,,,,,,2.0,,,,,,,8.0,,12.0,,,10.0,32.0
51,MUELLER Fiona,GER,,0.5,,,,,,0.0,,1.0,4.0,0.0,,0.5,,,6.0,,20.0,32.0
52,YOSHIMURA Miho,JPN,,,,,0.25,0.25,0.5,0.0,1.5,0.0,0.0,12.0,3.0,0.25,,,,12.0,2.5,31.75
53,YANG Seunghye,KOR,,,,,,,0.5,1.0,6.0,4.0,8.0,0.75,1.5,0.25,,,,6.0,5.0,31.5
54,SOLIMAN Loulwa,EGY,,,,,,,,0.5,,,,,,,30.0,,,,0.0,30.5
55,BROVKO Inna,UKR,,,,,,,2.0,0.0,,4.0,8.0,6.0,,2.0,,,6.0,,2.5,30.5
56,ASIS Lizzie,VEN,,,,,,0.0,,,,,0.25,,21.0,0.25,,6.0,,,2.5,30.0
57,MARZANI Roberta,ITA,,,,,,,2.0,0.0,6.0,8.0,8.0,6.0,1.5,2.0,,,,,,30.0
58,KOH Elle Meihui,SGP,,,,,,,2.0,2.0,6.0,0.5,,,,8.0,,,,6.0,5.0,29.5
59,LI Shanshan,CHN,,,,,,,,4.0,,2.0,0.25,21.0,,2.0,,,,,,29.25
60,PINYOL TOMAS Daniela,ESP,,,,,,0.5,,0.25,,,,,,2.0,,,21.0,,5.0,28.75
61,PAWLOWSKA Magdalena,POL,,,,0.25,,,4.0,4.0,,0.5,1.0,0.375,,2.0,,,6.0,,10.0,27.5
62,REMBI Lauren,FRA,,,,,,,2.0,2.0,21.0,2.0,,,,,,,,,,27.0
63,KOWALCZYK Sara Maria,ITA,,,,,,,2.0,2.0,6.0,8.0,2.0,3.0,3.0,4.0,,,3.0,,,27.0
64,VANRYSSEL Eloise,FRA,,,,,,,4.0,8.0,6.0,2.0,1.0,3.0,6.0,2.0,,,,,,27.0
65,BOUKHELIFA Charline,ALG,,,,,,,,,,,,0.375,,0.25,21.0,,,,5.0,26.625
66,EMBRICH Irina,EST,,,,1.0,,4.0,2.0,2.0,3.0,,4.0,3.0,,4.0,,,3.0,,5.0,26.0
67,TRADITI Gaia,ITA,,,0.5,,,,,,6.0,1.0,0.5,1.5,3.0,14.0,,,,,,25.5
68,FAVRE Angeline,SUI,,,,,,,,,3.0,,,21.0,,1.0,,,,,,25.0
69,BEKMURZOVA Iana,RUS,,,,,,,1.0,0.5,6.0,0.5,0.5,12.0,,0.25,,,,,5.0,25.0
70,BELJAJEVA Julia,EST,,,,4.0,,2.0,2.0,2.0,,,4.0,0.375,,4.0,,,6.0,,2.5,24.5
71,ZGRYZNIAK Kinga,POL,,,,0.5,,,8.0,0.5,1.5,4.0,4.0,0.0,,1.0,,,6.0,,,24.5
72,FRANSSON Emma,SWE,,,,0.25,,,2.0,4.0,3.0,4.0,2.0,1.5,3.0,2.0,,,3.0,,5.0,24.0
73,CHU Ka Mong,HKG,,,,,,,2.0,1.0,0.0,2.0,0.25,0.375,1.5,0.25,,,,12.0,5.0,23.875
74,TEJEDA Frania,MEX,,,,,,,0.0,,,,,,,,,21.0,,,2.5,23.5
75,ERTURK Aleyna,TUR,,,0.0,,,,0.25,,3.0,,14.0,0.375,1.5,,,,3.0,,1.25,23.375
76,BAVUGE KHABIMANA Milen,RUS,,,,,,,14.0,0.25,3.0,0.5,4.0,1.5,,0.5,,,0.0,,,23.0
77,BOZZA Alessandra,ITA,,,,,,,0.5,1.0,3.0,4.0,,6.0,6.0,4.0,,,,,,23.0
78,EL KORD Camilia,MAR,,,,,,,,,,,,,,0.25,21.0,,,,1.25,22.5
79,MURZATAEVA Dilnaz,UZB,,,,,,,,1.0,0.75,2.0,1.0,,,,,,,12.0,5.0,21.75
80,LARBI BOUAOUINA Rayhana,ALG,,,,,,,,,,,,0.0,,0.0,21.0,,,,0.625,21.625
81,MAHFOUZ Farah,EGY,,,,,,,,0.0,,,,,,0.0,21.0,,,,0.0,21.0
82,SONT Emma,ROU,,,,,,,8.0,,,,,3.0,,2.0,,,3.0,,5.0,21.0
83,NIKOLAICHUK Sofiya,KAZ,,,,,,,0.0,0.5,1.5,0.5,0.25,0.75,,0.25,,,,12.0,5.0,20.5
84,DMYTRUK Alina,UKR,,,,0.0,,,0.5,8.0,3.0,2.0,2.0,3.0,,0.25,,,,,2.5,20.5
85,EGAMBERDIEVA Shakhzoda,UZB,,,,,,,,2.0,3.0,0.5,0.5,0.75,,1.0,,,,12.0,1.25,20.5
86,KRYVYTSKA Olena,UKR,,,,,,,4.0,4.0,1.5,4.0,1.0,0.0,,0.5,,,6.0,,,20.5
87,VERRET Alexanne,CAN,,,,,,,0.5,,,2.0,,1.5,6.0,2.0,,6.0,,,2.5,20.5
88,VIVEROS Montserrat,PAR,,,,,,,,,,,,,3.0,,,12.0,,,5.0,20.0
89,ZITTEL Alexandra,GER,,,0.0,,,,0.25,,0.75,1.0,2.0,0.375,0.75,2.0,,,12.0,,1.25,19.75
90,KHAKIMOVA Malika,UZB,,,,,,,,0.5,3.0,1.0,1.0,0.75,,0.5,,,,12.0,1.25,19.5
91,BOTVINNIK Yana,ISR,,,,,,,1.0,0.25,,4.0,2.0,,6.0,2.0,,,3.0,,1.25,19.25
92,VANDINGENEN Aube,BEL,2.0,0.5,,,4.0,,4.0,0.25,0.75,1.0,1.0,3.0,1.5,2.0,,,3.0,,0.625,18.625
93,ISOLA Federica,ITA,,,,1.0,,,2.0,4.0,1.5,8.0,1.0,0.75,3.0,0.25,,,,,,18.5
94,CHAN Wai Ling,HKG,,,,,,,1.0,1.0,1.5,1.0,4.0,0.375,1.5,2.0,,,,6.0,2.5,18.5
95,HUNG Li-Hsiang,TPE,,,,,,,,0.25,,,1.0,,,,,,,12.0,5.0,18.25
96,KRIEGER Angela,SUI,,,4.0,,,,0.5,2.0,0.75,1.0,2.0,3.0,1.5,1.0,,,3.0,,2.5,18.0
97,MACHULSKY Leehi,USA,,,,,,,0.5,2.0,1.5,,2.0,0.375,12.0,0.5,,,,,,18.0
98,ABDUL RAHMAN Kiria Tikanah,SGP,,,,,,,1.0,2.0,0.375,4.0,,,,1.0,,,,6.0,2.5,16.875
99,WU Haidi,HKG,,,,,,,0.0,0.5,,0.0,,,,,,,,6.0,10.0,16.5
100,ELMER Luise,AUT,,,,0.5,,0.0,1.0,0.0,1.5,,2.0,0.375,,0.0,,,6.0,,5.0,16.375
101,DEKANY Kinga,HUN,0.0,,,,,,0.0,2.0,6.0,4.0,4.0,0.375,,0.25,,,,,,16.375
102,NO Sungyoun,JPN,,,,,,,1.0,,1.5,0.0,,0.375,3.0,2.0,,,,6.0,2.5,16.375
103,KARDOS Edina,HUN,1.0,,,,,,0.25,,6.0,8.0,0.25,0.0,,1.0,,,,,,16.25
104,GNAM Tamara,HUN,3.0,0.25,,0.0,,,1.0,8.0,0.75,1.0,1.0,3.0,,0.25,,,,,,16.0
105,LIPTHAY Hanna,HUN,2.0,,,,,,,0.0,,,,6.0,,8.0,,,,,,16.0
106,SHEMYAKINA Yana,UKR,,,,0.5,,,,,6.0,4.0,2.0,0.375,,0.5,,,3.0,,,16.0
107,MARTENSSON Elvira,SWE,,,,0.25,,,4.0,4.0,,,0.25,1.5,,,,,6.0,,,16.0
108,MURTAZAEVA Aizanat,RUS,,,,,,,4.0,4.0,,,,1.5,,1.0,,,3.0,,2.5,16.0
109,DOIG CALDERON Maria Luisa,PER,,,,,,,2.0,,,,,3.0,1.5,1.0,,6.0,,,2.5,16.0
110,KHATRI Taniksha,IND,,,,,,,0.0,1.0,3.0,,0.5,,,0.5,,,,6.0,5.0,16.0
111,RAKHIMOVA Sevara,UZB,,,,,,,,0.25,1.5,2.0,1.0,0.75,,4.0,,,,6.0,,15.25
112,CHOI Injeong,KOR,,,,,,,8.0,,,,,3.0,,4.0,,,,,,15.0
113,HECHT Dar,ISR,,,,,,,1.0,1.0,,,0.5,3.0,,4.0,,,3.0,,2.5,15.0
114,KLUGHARDT Gloria,POL,,,,,,,1.0,0.5,,2.0,0.5,0.75,,8.0,,,0.0,,2.5,14.75
115,FERNANDEZ Analia,CHI,,,,0.5,0.5,0.0,,,,,1.0,,,0.5,,12.0,,,,14.5
116,HUSSEIN Aya,EGY,,,,,,,,1.0,,,,,,,12.0,,,,1.25,14.25
117,RAMIREZ PEGUERO Violeta,DOM,,,,,,,,,,,,,1.5,0.0,,12.0,,,0.625,14.125
118,PAULIS Lucrezia,ITA,,,,,,,1.0,2.0,1.5,4.0,1.0,3.0,3.0,2.0,,,,,,14.0
119,OLSSON Liv,SWE,0.0,,,1.0,,,2.0,,,,,0.375,,0.5,,,,,10.0,13.875
120,VIZEU Victoria,BRA,,,,,1.0,0.0,,,0.75,,,3.0,1.5,0.25,,6.0,,,1.25,13.75
121,CORREIA Laura,BRA,,,,,,,,,,,,,1.5,,,12.0,,,,13.5
122,AICARDI GONZALEZ Alessandra Valeri,PAN,,,,,,,,,,,,,,,,12.0,,,1.25,13.25
123,LOHAN Prachi,IND,,,0.0,0.25,,,,,1.5,,0.0,0.0,,0.25,,,,6.0,5.0,13.0
124,RAPOSO Dana,ESP,,,,,,0.25,,1.0,,1.0,2.0,0.75,,0.25,,,3.0,,5.0,13.0
125,MACCAGNO Carola,ITA,,,,,,,1.0,4.0,3.0,1.0,2.0,0.375,3.0,1.0,,,,,,13.0
126,GUIMARAES Maria Carolina,BRA,,0.0,,,,,,,,,,,0.75,0.0,,12.0,,,,12.75
127,BIELESZOVA Veronika,CZE,,,,,,,0.25,2.0,,,1.0,0.75,0.0,0.5,,,3.0,,5.0,12.5
128,ROGER Maenel,MAR,,,,,,,,,,,,,,0.0,12.0,,,,,12.0
129,YANTOLO Phumza,RSA,,,,,,,,,,,,,,,12.0,,,,,12.0
130,IDONGESIT Sara,NGR,,,,,,,,,,,,,,,12.0,,,,,12.0
131,LANCASTER Alexandra,RSA,,,,,,,,,,,,,,,12.0,,,,0.0,12.0
132,DOUCI-HABANE Soha,MAR,,,,,,,0.0,,,,,,,0.0,12.0,,,,,12.0
133,ZEBBOUDJ Yousra,ALG,,,,,,,,,,,,0.0,,,12.0,,,,0.0,12.0
134,MENDEZ BELLO Josefina Maria,ARG,,,,,,,,,,,,,,,,12.0,,,,12.0
135,YANTOLO Phakama,RSA,,,,,,,,,,,,,,,12.0,,,,,12.0
136,CORREA SANTA Carmen Andrea,COL,,,0.0,,,0.25,,,,,,,3.0,0.25,,6.0,,,2.5,12.0
137,MURIDOVA Tamila,GEO,,,,,,,,,,,2.0,1.5,,0.25,,,3.0,,5.0,11.75
138,ANDREYEVA Vladislava,KAZ,,,,,,,,0.5,0.0,1.0,0.25,0.375,,1.0,,,,6.0,2.5,11.625
139,GOMEZ LOPEZ Silvia,ESP,,,,,,0.25,,2.0,,,0.25,0.75,,0.25,,,3.0,,5.0,11.5
140,FALLON Kyle,USA,,,,,,,0.0,0.25,1.5,,2.0,1.5,6.0,0.5,,,,,,11.5
141,PARK Sohyeong,KOR,,,,,,,1.0,2.0,3.0,1.0,2.0,1.5,3.0,1.0,,,,,,11.5
142,ALVIM Maria,POR,,,,,,0.25,,,1.5,,,3.0,,1.0,,,3.0,,2.5,11.25
143,DYNER Karina,CRC,,,,,,,0.25,,0.75,,,0.375,3.0,,,6.0,,,0.625,11.0
144,FRANCILLONNE Oceane,FRA,,,,,,,1.0,1.0,3.0,2.0,2.0,3.0,,1.0,,,,,,11.0
145,POSADA Betyumil,VEN,,,,,,,,,,,0.0,,3.0,0.25,,6.0,,,1.25,10.5
146,SHI Yuexin,CHN,,,,,,,2.0,4.0,,2.0,2.0,,,0.25,,,,,,10.25
147,FEYGIN Nicole,ISR,,,,,,,2.0,2.0,,,0.5,,,0.25,,,3.0,,2.5,10.25
148,LUGO Eliana,VEN,,,,,,0.25,,,,,,,3.0,0.25,,6.0,,,0.625,10.125
149,LIU Charlene Kai Yan,USA,,,,,,,,4.0,,,2.0,0.375,3.0,0.5,,,,,,9.875
150,THEODOROPOULOU Andriana,GRE,,,0.0,,,,,,,,,0.375,,1.0,,,6.0,,2.5,9.875
151,ERIKSSON Linnea,SWE,,,,1.0,,,,2.0,,0.0,1.0,1.5,,0.0,,,3.0,,1.25,9.75
152,KORFONTA Jolie,USA,,,,,,,,,6.0,,,1.5,1.5,0.5,,,,,,9.5
153,GILARSKI Genevieve,AUS,,,,,,,,0.25,0.75,,,,,0.0,,,,6.0,2.5,9.5
154,TAN Esther,SGP,,,,,,,0.5,1.0,0.0,,0.5,,,0.0,,,,6.0,1.25,9.25
155,GARCIA RODRIGUEZ Ines,ESP,,,,,,0.0,,2.0,,1.0,1.0,1.5,,1.0,,,1.5,,1.25,9.25
156,LEHTONEN Suvi,FIN,,,,,0.25,0.0,,0.25,,,,0.375,,0.25,,,3.0,,5.0,9.125
157,BURKHARD Isabelle,SUI,,,0.0,,,,0.0,,,1.0,0.5,1.5,6.0,0.0,,,,,,9.0
158,CARON Julia,FRA,,,,,,,0.5,1.0,,,0.5,0.375,6.0,1.0,,,,,,9.0
159,KETKAR Ketki,USA,,,,,,,4.0,0.25,3.0,,,1.5,,,,,,,,8.75
160,EMERY Solene,SUI,,,0.0,,,,4.0,0.0,0.0,,4.0,0.75,,,,,,,,8.75
161,CIESLIK Cecylia,POL,,,,0.0,,,0.5,2.0,,1.0,4.0,0.75,,1.0,,,,,,8.75
162,ZUIKOVA Veronika,EST,,,,,,,,,,,,0.75,,0.0,,,3.0,,5.0,8.75
163,PARK Jinjoo,KOR,,,,,,,0.0,1.0,3.0,2.0,1.0,0.0,1.5,1.0,,,,,,8.5
164,MO Wanlin,CHN,,,,,,,2.0,4.0,,0.5,1.0,0.75,,0.0,,,,,,8.25
165,SICA Susan Maria,GBR,,,,,,,,,0.0,,,0.75,,0.25,,,6.0,,1.25,8.25
166,SAMODELKINA Daria,KAZ,,,,,,,,,,1.0,,,,,,,,6.0,1.25,8.25
167,SUZUKI Honami,JPN,,,,,,,0.0,1.0,3.0,0.5,2.0,0.75,1.5,0.25,,,,,,8.25
168,CAGNIN Beatrice,ITA,,,,,2.0,,4.0,0.5,,,,1.5,,,,,,,,8.0
169,VASQUEZ Paula,CHI,,,,0.0,0.25,0.0,,,,,0.25,,1.5,0.0,,6.0,,,0.0,8.0
170,ROZSAS Julia,HUN,0.25,,,,,,,,6.0,,,1.5,,0.25,,,,,,8.0
171,MROSZCZAK Anna,POL,,0.25,0.0,,,,0.5,,,,0.25,6.0,,1.0,,,,,,8.0
172,JANELLI Zofia,POL,,,,0.25,,,0.0,1.0,0.75,2.0,0.5,3.0,,1.0,,,,,,7.75
173,CHEVAUX Lena,AUT,0.0,1.0,,,3.0,0.5,0.25,1.0,0.75,,1.0,0.375,1.5,0.25,,,0.0,,0.0,7.5
174,BENEA Bianca,ROU,1.0,,,0.5,,,1.0,,,,,1.5,,0.5,,,3.0,,,7.5
175,SALAZAR ALDANA Susana,COL,,,,,,,,,,,,,1.5,,,6.0,,,,7.5
176,LIN Yik Hei Coco,HKG,,0.5,,,,,0.5,1.0,0.75,2.0,0.25,0.0,3.0,0.25,,,,,,7.25
177,MIN Ji Won,KOR,,,,,,,0.0,0.0,3.0,0.25,1.0,0.0,3.0,0.0,,,,,,7.25
178,HORVATH Lotti,HUN,,,,,,,,,,,,6.0,,1.0,,,,,,7.0
179,FARIAS Clarismar,VEN,,,,,,2.0,,,,,,1.5,1.5,0.5,,,,,1.25,6.75
180,BULTYNCK Anne,BEL,,0.5,,,0.25,,,0.25,0.75,,0.0,0.75,,0.25,,,3.0,,1.25,6.75
181,WU Mia,TPE,,,0.25,,0.5,,,,,,,0.375,,,,,,3.0,2.5,6.625
182,WETZKER Laura Katalin,GER,,3.0,,,,,1.0,1.0,1.5,0.0,0.0,,,,,,,,,6.5
183,KHAERTDINOVA Polina,RUS,,,,,,,,0.5,1.5,2.0,0.5,0.0,,2.0,,,,,,6.5
184,CIFUENTES Ignacia,CHI,,,,,,,,,,,0.25,,0.0,,,6.0,,,,6.25
185,FRINDT Marianne,CHI,,,,,,,,,,,,,0.0,0.25,,6.0,,,,6.25
186,ROMEO Virginia,SUI,,,0.0,,,,0.5,0.5,0.75,0.5,0.0,1.5,3.0,0.25,,,,,,6.25
187,BABA Haruna,JPN,,,,,,,1.0,0.25,0.75,1.0,0.5,0.375,3.0,0.25,,,,,,6.25
188,MC CABE Sacha,RSA,,,,,,,,,,,,,,,6.0,,,,,6.0
189,TALEB Ines El Batoul,ALG,,,,,,,,,,,,,,,6.0,,,,,6.0
190,ELLIS Marwa,MAR,,,,,,,0.0,,,,,,0.0,,6.0,,,,0.0,6.0
191,SABALY Aminata,SEN,,,,,,,,,,,,,,,6.0,,,,,6.0
192,GNINGUE Diarrietou Lahi,SEN,,,,,,,,,,,,,,,6.0,,,,,6.0
193,MODISE Aobakwe,BOT,,,,,,,,,,,,,,,6.0,,,,0.0,6.0
194,UWIHOREYE Tufaha,RWA,,,,,,,,,,,,,,,6.0,,,,,6.0
194,LINARES Helena,HON,,,,,,,,,,,,,,,,6.0,,,,6.0
196,PEPOUERE NAOMI MONICA,CIV,,,,,,,,,,,,,,,6.0,,,,,6.0
197,SULEN BURGOS Priscila Genoveva,ECU,,,,,0.0,,,,,,,,,,,6.0,,,,6.0
198,BUNGSY Dosha,MRI,,,,,,,,,,,,,,,6.0,,,,0.0,6.0
199,THOMAS Adebodunirin,NGR,,,,,,,,,,,,,,,6.0,,,,,6.0
200,PAREDES Ana Margarita,MEX,,,,,,,,,,,,,0.0,,,6.0,,,,6.0
201,MASSALY Oumoul Khairy,SEN,,,,,,,,,,,,,,,6.0,,,,,6.0
202,TSURSKAYA Aliaksandra,BLR,,,,,,,,0.0,0.0,,,,,,,,6.0,,,6.0
203,KIM Nakyeong,KOR,,,,,,,2.0,,,,,,,4.0,,,,,,6.0
204,GOH Bee Hooi,MAS,,,,,,,,0.0,0.0,,,,,0.0,,,,6.0,0.0,6.0
205,YANEZ Maria Paz,PER,,,,,,,,,,,,,,,,6.0,,,,6.0
206,XU Nuo,CHN,,,,,,,,,,1.0,1.0,3.0,,1.0,,,,,,6.0
207,GUZZI VINCENTI Margherita,USA,,,,,,,,,,,2.0,,3.0,1.0,,,,,,6.0
208,PARMESANI Francesca,SLO,,,0.0,0.0,,,,,,,,1.5,,0.25,,,3.0,,1.25,6.0
209,LEE Regina,USA,,,,,,,1.0,2.0,,,1.0,,1.5,0.5,,,,,,6.0
210,SAITO Hana,JPN,,,,,,,1.0,0.5,0.375,1.0,0.0,0.375,3.0,0.25,,,,,,5.875
211,CONSTANTIN Natalia,ROU,,,,,,,0.5,,,,,,,0.25,,,0.0,,5.0,5.75
212,GZYUNOVA Anna,RUS,,,,,,,,1.0,3.0,0.5,0.5,0.75,,0.5,,,,,,5.75
213,ULLTJARN Louise,SWE,,,,2.0,,,0.5,0.5,,,1.0,0.375,,0.25,,,0.0,,1.25,5.625
214,PREDESCU Alexandra,ROU,,,,,,,2.0,,,,,0.375,,0.25,,,3.0,,,5.625
215,NARITA Ruka,JPN,,,,,,,0.25,1.0,0.75,2.0,0.25,0.375,1.5,0.25,,,,,,5.625
216,JAAKKOLA Outi,FIN,,,,,,,,0.5,0.0,,0.0,0.75,,0.25,,,1.5,,2.5,5.5
217,GOLDMANN Lara,GER,,0.25,,,,,1.0,,1.5,0.5,2.0,0.375,,0.0,,,,,,5.375
218,PIRKOWSKI Amanda,USA,,,,,,,0.0,2.0,1.5,1.0,,0.375,,0.25,,,,,,5.125
219,MACKINNON Leonora,CAN,,4.0,,,1.0,,0.0,,,,,,,,,,,,,5.0
220,CLERICI Alice,ITA,,,3.0,,,,,,,0.0,2.0,,,,,,,,,5.0
221,LAWSON Danielle,GBR,,0.0,,,0.5,,,,,,,1.5,,0.0,,,3.0,,,5.0
222,SAYAGUES PARIS Isabella,CRC,,,,,,,0.0,,,,,,0.75,,,3.0,,,1.25,5.0
223,YANG Lei,CHN,,,,,,,,2.0,,1.0,0.5,0.375,,1.0,,,,,,4.875
224,DOQUET Anaelle,FRA,,,0.5,,,,0.25,1.0,0.75,1.0,0.0,,1.5,0.25,,,,,,4.75
225,MARTINEZ Maria,VEN,,,,,,,,,,,0.0,,1.5,0.25,,3.0,,,,4.75
226,PASHARNEVA Katsiaryna,BLR,,,,,,,,1.0,0.75,,,,,,,,3.0,,,4.75
227,FOIETTA Nicol,ITA,,,,,,,0.0,0.0,1.5,,0.25,,3.0,,,,,,,4.75
