Rank,Name,Nat.,")AS(
amanaM
90/70",")AS(
araosimiT
90/02",")AS(
madretsmA
90/72",")AS(
orienaJ
ed
oiR
01/40",")AS(
eropagniS
01/11",")AS(
niromaS
01/81",")AS(
enolecraB
01/52",")A(
acrollaM
ed
amlaP
11/70",")A(
akoukuF
21/50",")A(
siraP
10/90",")PG(
niruT
20/60",")PG(
amiL
30/02",")A(
oriaC
40/61",")A(
lubnatsI
40/03",")PG(
iahgnahS
50/51",")ZHC(
najdibA
60/30",")ZHC(
amiL
60/71",")ZHC(
ynotnA
60/81",")ZHC(
ihleD
60/12",")MHC(
gnoK
gnoH
70/22",Points
53,KAHL Alexander,GER,,,3.0,,,0.0,,0.5,0.0,1.0,3.0,,,,6.0,,,6.0,,10.0,29.5
54,GLASSON Joseph,AUS,,,,,,,,0.25,,0.25,0.75,3.0,,,3.0,,,,12.0,10.0,29.25
55,CERVANTES Diego,MEX,,,,,,,,,,,,6.0,0.25,0.25,,,12.0,,,10.0,28.5
56,EMMER Chase,USA,,,,,,,,2.0,2.0,4.0,6.0,,,4.0,12.0,,,,,,28.0
57,FILIPPI Davide,ITA,,,,,,,,2.0,2.0,2.0,6.0,6.0,8.0,1.0,6.0,,,,,,28.0
58,NAGANO Yudai,JPN,,,,,,,,1.0,8.0,2.0,1.5,3.0,2.0,2.0,12.0,,,,,,27.0
59,ROGER Wallerand,FRA,,,,,,,,4.0,1.0,8.0,6.0,1.5,2.0,2.0,6.0,,,,,,26.0
60,LUPERI Edoardo,ITA,,,,,,,,14.0,4.0,0.5,,3.0,2.0,2.0,,,,,,,25.0
61,FRANZONI Giuseppe,ITA,,0.25,,,,0.0,0.25,,2.0,0.25,0.375,0.0,2.0,20.0,0.375,,,,,,24.75
62,KIM Tae Hwan,KOR,,,,,,,,2.0,0.5,0.25,3.0,1.5,4.0,0.25,3.0,,,,6.0,5.0,24.5
63,PUZANKOV Pavel,RUS,,,,,,,,0.25,0.25,14.0,6.0,,2.0,0.5,1.5,,,,,,24.0
64,KERYHUEL Jeremy Fafa,CIV,,,,,,,,,,0.25,,,,,,21.0,,,,2.5,23.75
65,LEUNG Chin Yu,HKG,,,,,,,,2.0,1.0,0.5,0.375,6.0,0.5,4.0,1.5,,,,6.0,2.5,23.0
66,HEROUI Salim,ALG,,,,,,,,0.0,,0.25,0.375,,,,,21.0,,,,1.25,22.875
67,NISTA Lorenzo,ITA,,,,,,,,0.25,4.0,0.5,12.0,6.0,,,,,,,,,22.75
68,DIESTELKAMP Niklas,GER,,,,,,,,0.25,0.5,0.5,0.0,6.0,4.0,0.0,0.375,,,6.0,,5.0,22.375
69,ROSATELLI Damiano,ITA,,,,,,,1.0,8.0,0.25,2.0,1.5,6.0,4.0,2.0,0.375,,,,,,22.0
70,XU Jia Bao,CAN,,,,,,,,,0.0,1.0,,3.0,,,0.75,,12.0,,,5.0,21.75
71,PRATS Mathieu Cheickh Jaques,MLI,,,,,,,,,,0.25,,,,0.25,,21.0,,,,,21.5
72,XU Jie,CHN,,,,,,,,,,,,,2.0,1.0,1.5,,,,12.0,5.0,21.5
73,HAFFOUR Abdelrahman,EGY,,,,,,,,0.0,0.25,0.0,,,0.0,,,21.0,,,,,21.25
74,KRAVTSOV Daniil,UZB,,,,,,,,,,,,1.5,2.0,1.0,0.75,,,,6.0,10.0,21.25
75,SEO Yechan,KOR,,,,,,,,,,,,,,,21.0,,,,,,21.0
76,FOCONI Alessio,ITA,,,,,,,,8.0,2.0,2.0,6.0,3.0,2.0,0.5,1.5,,,,,,21.0
77,GUO Yifan,CHN,,,,,,,,,0.5,1.0,,,2.0,2.0,0.75,,,,12.0,2.5,20.75
78,AZUELA Maximo,MEX,,0.5,,,,,,,,2.0,0.375,,0.25,0.25,,,12.0,,,5.0,20.375
79,BIRD Harry,GBR,,,0.25,,,0.5,0.5,0.0,0.25,0.25,6.0,1.5,2.0,1.0,0.375,,,6.0,,2.5,19.5
80,SEMENYUK Grigoriy,RUS,,,,,,,,4.0,2.0,4.0,0.75,,1.0,8.0,1.5,,,,,,19.5
81,CHEN Yi-Tung,TPE,,,,,,,,0.25,0.5,0.25,3.0,0.75,,,,,,,12.0,2.5,19.25
82,KAWAMURA Kyota,JPN,,,,,,,,8.0,1.0,1.0,6.0,3.0,0.5,1.0,0.0,,,,,,19.0
83,TAN Raphael Juan Kang,SGP,,,,,3.0,,,1.0,0.5,2.0,0.75,,0.0,,0.75,,,,6.0,5.0,18.5
84,BOURTIS James,USA,,,,,,,,1.0,8.0,0.5,1.5,3.0,4.0,2.0,1.5,,,,,,18.5
85,WONG Adrian,CAN,,,,,,,,0.5,0.25,0.25,0.75,1.5,,,0.75,,12.0,,,2.5,18.25
86,YU Jason,CAN,,,,,,,,0.0,0.25,1.0,0.375,1.5,,,0.375,,12.0,,,2.5,18.0
87,ABE Yoshiki,JPN,,,,,,,,0.5,4.0,2.0,3.0,6.0,0.5,1.0,3.0,,,,,,18.0
88,ARCHILEI Tommaso,MEX,,,,,,,,1.0,0.0,0.25,1.5,0.0,0.25,0.25,,,12.0,,,2.5,17.75
89,VAN CAMPENHOUT Stef,BEL,,,1.0,,,,,1.0,2.0,2.0,1.5,,1.0,0.25,3.0,,,3.0,,5.0,17.5
90,SIESS Michal,POL,,,,,,,,1.0,1.0,0.5,1.5,,1.0,1.0,,,,12.0,,,17.5
91,NOWAK Jan,POL,,,,,,,,2.0,1.0,0.25,6.0,,,0.25,,,,3.0,,5.0,17.5
92,DE ALMEIDA Dominic,BRA,,,,1.0,,,,1.0,0.0,0.25,0.375,3.0,0.0,1.0,0.375,,6.0,,,5.0,17.375
93,MYLNIKOV Vladislav,RUS,,,,,,,,2.0,8.0,0.25,1.5,,2.0,2.0,3.0,,,,,,17.0
94,FILES Petar,CRO,0.25,,,,,,,0.25,,0.25,1.5,1.5,0.5,2.0,,,,6.0,,5.0,16.75
95,FUKUDA Ryosuke,JPN,,,,,,,,,4.0,,1.5,3.0,0.5,2.0,6.0,,,,,,16.5
96,MAROSTEGA Pedro,BRA,,,,1.0,,,,,0.25,0.25,0.75,3.0,,0.25,,,6.0,,,5.0,16.25
97,JAKUBOWSKI Adam,POL,,,,,,,0.0,0.25,0.0,1.0,3.0,,,2.0,,,,,,10.0,16.25
98,CHAMLEY-WATSON Miles,USA,,,,,,,,1.0,1.0,2.0,0.75,3.0,4.0,4.0,3.0,,,,,,16.0
99,BIBARD Tyvan,FRA,,,,,,,,4.0,2.0,1.0,3.0,1.5,2.0,4.0,3.0,,,,,,16.0
100,DI VEROLI Damiano,ITA,,,,,,1.0,,2.0,2.0,2.0,3.0,6.0,2.0,0.5,1.5,,,,,,15.0
101,LAM Ho Long,HKG,,,,,,,,4.0,2.0,0.5,3.0,3.0,2.0,0.25,3.0,,,,,,15.0
102,BULATOV Iskander,RUS,,,,,,,,2.0,0.5,2.0,0.375,,2.0,8.0,0.75,,,,,,14.75
103,AGUINAGA PROCEL Thomas Esteban,ECU,,,,,,,,,,0.0,0.0,,,,,,12.0,,,2.5,14.5
104,OSIPOV Dmitrii,RUS,,,,,,,,0.5,1.0,0.25,6.0,,4.0,0.25,3.0,,,,,,14.5
105,MURRAY Maximo,MEX,,0.0,0.25,,,,,,,0.0,0.0,1.5,0.0,0.5,0.0,,12.0,,,0.0,14.25
106,LOO Keyon,SGP,,,,,0.25,,,1.0,0.0,0.5,0.75,,,,0.75,,,,6.0,5.0,14.25
107,PRADEL Louis,FRA,,,0.5,,,,,1.0,8.0,1.0,3.0,,1.0,0.25,0.375,,,,,,14.0
108,ONO Ryoga,JPN,,,,,,,,,2.0,,6.0,,,,6.0,,,,,,14.0
109,TRANQUILAN Sammuel,PHI,,,,,1.0,,,,,0.5,,,,,,,,,12.0,0.0,13.5
110,DE GREEF Stef,BEL,,,0.5,,,,,2.0,1.0,1.0,0.375,3.0,0.5,1.0,0.0,,,3.0,,2.5,13.5
111,AOUDIA Selyan,ALG,,,,,,,,,,0.0,,,,,,12.0,,,,1.25,13.25
112,BEKKAT Thibaud,ALG,,,,,,,,,,1.0,,,,,,12.0,,,,,13.0
113,ROBSON Samuel Elijah,SGP,,,,,,,,,2.0,0.25,1.5,,0.25,,0.375,,,,6.0,2.5,12.875
114,ALVARES DE OLIVEIRA Victor,CPV,,,,,,,,,,,0.75,,,,,12.0,,,,,12.75
115,DONAGHUE Joe,GBR,,4.0,0.5,,,1.0,0.25,0.25,0.25,0.25,1.5,1.5,0.25,1.0,0.75,,,3.0,,0.0,12.0
116,SADLI Rayan,ALG,,,0.0,,,,,,,0.0,0.0,,,,,12.0,,,,0.0,12.0
117,SANER Harry,RSA,,,,,,,,,,,,,,,,12.0,,,,,12.0
118,PEDRO Tomas,ANG,,,,,,,0.0,0.0,,,0.0,,,,,12.0,,,,,12.0
119,TYCHLER Pavel,RSA,,,,,,,,,,,,,,,,12.0,,,,,12.0
120,PEDRO Antonio,ANG,,,,,,,0.0,0.0,,,0.0,,,,,12.0,,,,,12.0
121,KERIK Aleksandr,RUS,,,,,,,,1.0,2.0,4.0,0.375,,4.0,1.0,0.75,,,,,,12.0
122,KUMBLA Samarth,USA,,,,,,,,4.0,2.0,2.0,,,1.0,0.25,3.0,,,,,,12.0
123,NG Lok Wang Lawrence,HKG,,,,,,,,1.0,0.25,0.25,3.0,3.0,2.0,0.0,3.0,,,,,,12.0
124,KUO Chun-You,TPE,,,,,0.5,,,0.25,0.0,0.0,1.5,0.75,0.25,,0.0,,,,6.0,2.5,11.75
125,LECHNER Moritz,AUT,,2.0,,,,0.25,0.0,0.25,0.0,0.5,0.0,,,,,,,6.0,,2.5,11.5
126,NIGOSANTI Andrea,ARG,,,,,,,,1.0,,0.25,0.75,,0.5,0.5,,,6.0,,,2.5,11.5
127,BRICENO Jose,VEN,,,0.0,,,,,0.25,,,,,,,,,6.0,,,5.0,11.25
128,HSU Sheng-Hung Jasper,TPE,,,,,1.0,,,0.5,0.5,0.25,0.375,1.5,0.25,0.25,0.0,,,,6.0,1.25,11.125
129,BRETEAU Ignacio,ESP,,,,,,,0.25,1.0,0.25,0.0,0.375,,0.0,2.0,,,,6.0,,1.25,11.125
130,NISHIGUCHI Yasutaka,JPN,,,,,,,,2.0,4.0,1.0,0.375,1.5,0.5,2.0,1.5,,,,,,11.0
131,ALARCON David,CHI,,,,0.5,,0.0,0.5,0.0,,,,0.75,,0.0,1.5,,6.0,,,1.25,10.5
132,ZABALA Juan,ESP,,,,,,,1.0,1.0,0.5,1.0,0.375,0.75,0.0,1.0,0.75,,,3.0,,2.5,10.25
133,MURUHIN Yaroslav,UKR,,,0.0,,,,,2.0,1.0,0.25,,3.0,,,1.5,,,,,2.5,10.25
134,USMANOV Ulugbek,UZB,,,,,,,,,,0.25,0.375,,0.25,1.0,0.375,,,,3.0,5.0,10.25
135,LESKOVAC Janko,CRO,1.0,2.0,,,,0.0,0.0,1.0,,0.25,0.375,0.0,,0.0,,,,3.0,,2.5,10.125
136,CHAGNON Eliot,FRA,,,,,,,,4.0,1.0,0.25,1.5,3.0,0.5,,,,,,,,10.0
137,SEMENEEV Radmir,UZB,,,,,,,,,,0.25,0.375,,0.25,0.25,0.75,,,,3.0,5.0,9.875
138,SPOLJAR Borna,CRO,0.25,,,,,,,1.0,,0.25,0.0,0.75,0.0,0.25,,,,6.0,,1.25,9.75
139,OWAIDA Ali,QAT,0.25,,,,,,0.25,,,0.5,0.0,,0.25,0.5,,,,,3.0,5.0,9.75
140,MOLINA Ilyas,UZB,,,,,,,,,,1.0,0.75,,0.0,0.25,0.375,,,,6.0,1.25,9.625
141,KLEIN Felix,GER,,,2.0,,,0.0,,0.25,1.0,0.25,1.5,,0.25,2.0,3.0,,,,,,9.5
142,SPICHIGER Armand,FRA,,,,,,,,0.5,1.0,4.0,3.0,0.0,1.0,0.5,,,,,,,9.5
143,KUMBLA Sidarth,USA,,,,,,,,0.5,0.5,1.0,3.0,3.0,1.0,0.5,1.5,,,,,,9.5
144,BRICENO Janderson,VEN,,,,,,,0.25,0.5,,,,,,,,,6.0,,,2.5,9.25
145,DIAZ ESCALONA Mario,ESP,,,,,,,0.25,0.25,0.5,0.25,0.375,0.0,0.5,0.25,0.375,,,6.0,,1.25,9.25
146,POGREBNIAK Andrii,UKR,,0.5,0.5,,,0.0,,,0.25,0.25,0.75,,,1.0,,,,6.0,,,9.0
147,GASSNER Ethan,USA,0.5,,0.25,,0.5,,0.0,2.0,0.25,0.25,3.0,1.5,1.0,0.25,1.5,,,,,,9.0
148,ARIZA Isaac,PER,,,,,,,,1.0,,,,0.75,,,,,6.0,,,1.25,9.0
149,MORAIS Paulo,BRA,,,,,,0.0,0.25,,,2.0,0.375,,0.25,,,,6.0,,,,8.875
150,MION Lorenzo,BRA,,,,2.0,,,,,,0.25,0.375,1.5,2.0,,,,,,,2.5,8.625
151,FAZEKAS Arpad,SVK,,0.0,0.0,,,0.25,0.0,0.0,1.0,0.0,0.0,3.0,0.25,0.25,1.5,,,0.0,,2.5,8.5
152,NAKAMURA Taro,JPN,,,,,,,,1.0,0.5,2.0,,3.0,0.5,2.0,,,,,,,8.5
153,BALINT Almos,HUN,,0.5,0.5,,,0.0,,0.5,0.5,2.0,0.75,1.5,0.5,1.0,3.0,,,,,,8.25
154,KIM Gyeongmu,KOR,,,,,,,,4.0,1.0,1.0,0.75,,,,1.5,,,,,,8.25
155,KIEW Zephaniah Ian,SGP,,,,,0.5,,,0.0,0.0,0.25,0.375,,0.25,,0.75,,,,6.0,0.0,8.125
156,GROSZ Roland,HUN,,1.0,,,,0.25,,,,,6.0,,,,0.75,,,,,,8.0
157,SPICHIGER Antoine,FRA,,,,,,,,1.0,0.25,0.25,,6.0,0.25,,0.375,,,,,,7.875
158,GEUDVERT Oscar,BEL,,,0.0,,,,,0.0,0.5,1.0,0.75,,0.0,0.25,0.375,,,,,5.0,7.875
159,ALARCON Gustavo,CHI,,,,,,,,,,,,1.5,0.25,0.0,,,6.0,,,,7.75
160,SERVELLO Augusto Antonio,ARG,,,,,,,,,1.0,,,0.0,,,0.75,,6.0,,,,7.75
161,KWAK Junhyuk,KOR,,,,,,,,,1.0,,0.75,,,,6.0,,,,,,7.75
162,GRAJALES MENA Miguel Angel,COL,,,0.25,,,,,0.0,,,,,0.25,,3.0,,3.0,,,1.25,7.75
163,KHALIFA Abdalla,QAT,0.5,,,,,,,0.25,,0.0,,,0.0,0.25,,,,,6.0,0.625,7.625
164,SACHIN Sachin,IND,,,,,,,,,,,,,,,0.375,,,,6.0,1.25,7.625
165,KORNILOV Valerii,RUS,,,,,,,,,,1.0,1.5,,4.0,0.25,0.75,,,,,,7.5
166,CHENG Tristan Xing Han,MAS,,,,,,,,0.0,,,,,,,1.5,,,,6.0,0.0,7.5
167,AN Hyeonbhin,KOR,,,,,,,,0.25,1.0,0.25,1.5,3.0,0.5,0.25,1.5,,,,,,7.5
168,HURST Jake,GBR,4.0,,0.25,,,,0.0,0.0,0.25,0.5,0.375,1.5,1.0,0.25,0.375,,,,,,7.375
169,HOLY Lev Michael,CZE,,,0.0,,,0.25,,0.5,,0.5,0.375,0.75,1.0,,,,,3.0,,1.25,7.375
170,AGUIRRE Cesar,VEN,,,,,,,,0.0,,,,,,0.0,,,6.0,,,1.25,7.25
171,KOZLOV Zakhar,RUS,,,,,,,,,,1.0,6.0,,0.25,,,,,,,,7.25
172,EDIRI Alexandre,FRA,,,,,,,,,,0.5,3.0,,1.0,2.0,0.75,,,,,,7.25
173,NIJS Mathieu,BEL,,,0.0,,,,,2.0,0.25,0.25,0.0,,1.0,0.5,0.75,,,0.0,,2.5,7.0
174,ANDRIAMAMPIANINA Jules,FRA,,,0.25,,,,2.0,1.0,,0.5,,3.0,,,,,,,,,6.75
175,ELGHAYESH Seif,EGY,,,,,,,,0.0,,0.25,,,0.5,,,6.0,,,,,6.75
176,CHOI Minseo,KOR,,,,,,,,4.0,0.25,1.0,0.375,,,1.0,0.375,,,,,,6.75
177,YANG Luao,USA,,,0.0,,,,,,,,3.0,3.0,0.25,0.5,,,,,,,6.75
178,CUK Veljko,SRB,,0.25,,,,0.0,,,,0.25,0.375,,1.0,0.5,,,,3.0,,1.25,6.625
179,JURKIEWICZ Jan,POL,,,,,,,1.0,1.0,0.5,0.5,1.5,,1.0,2.0,,,,,,,6.5
180,PISTORIO Federico,ITA,,,,,,,0.5,,,,6.0,,,,,,,,,,6.5
181,FAUL Paul Luca,GER,,,0.0,,,0.0,,2.0,1.0,0.25,1.5,1.5,0.5,0.5,0.375,,,,,,6.5
182,HARAVSKYI Maksym,UKR,,1.0,0.25,,,0.25,,0.0,0.0,0.0,0.375,,,0.25,,,,3.0,,1.25,6.375
183,DEEJING Ratchanavi,THA,,,,,0.25,,,,,,,,,,0.0,,,,6.0,0.0,6.25
184,FLORES Samuel,VEN,,,0.0,,,,,0.25,,0.0,,,,,,,6.0,,,,6.25
185,AGUINAGA PROCEL Pedro Jose,ECU,,,,,,,,,,0.25,0.0,0.0,,,,,6.0,,,,6.25
186,CHENG Tit Nam,HKG,,,,,,,,0.25,1.0,1.0,0.75,,0.5,,3.0,,,,,,6.25
187,MANUEL Francisco Xavier Da Rosa Chocolate,ANG,,,,,,,,0.0,,,,,,,,6.0,,,,,6.0
188,SYLLA Sekou,GUI,,,,,,,,,,,,,,,,6.0,,,,0.0,6.0
189,AGBOKE JOB BOUALY JACOB,CIV,,,,,,,,,,,,,,,,6.0,,,,,6.0
190,ANOH Ette Jean Hans Arnold,CIV,,,,,,,,,,,,,,,,6.0,,,,,6.0
191,SY Abdourahmane Marieme,SEN,,,,,,,,,,,,,,,,6.0,,,,,6.0
192,GARCIA Sebastian R.,PUR,,,,,,,,,,,,,,,,,6.0,,,,6.0
193,BOLANOS CAMACHO Alejandro,COL,,,,,,,,0.0,,0.0,,0.0,,,,,6.0,,,,6.0
194,PORRAS Cristian,GUA,,,,,,,,,,,,,,,,,6.0,,,,6.0
195,SEMYONOV Timofey,KAZ,,,,,,,,,,0.0,0.375,,,,0.0,,,,3.0,2.5,5.875
196,FINSTERBUSH Ori,ISR,,,,,,0.0,0.0,1.0,0.0,0.25,0.375,,,,,,,3.0,,1.25,5.875
197,BODOR Aron Peter,HUN,,0.5,,,,2.0,,,,0.25,3.0,,,,,,,,,,5.75
198,POORGHARIB Abdulrahman,QAT,1.0,,,,,,,,,0.25,,,0.0,0.25,,,,,3.0,1.25,5.75
199,REICHETZER Tobias,AUT,,,,,,,,0.5,,1.0,0.0,,,,0.0,,,3.0,,1.25,5.75
200,SCHULZ Linus,GER,,,0.0,,,,,1.0,0.25,0.5,0.75,,,2.0,1.5,,,,,,5.75
201,KWIATKOWSKI Mateusz,POL,,,,,,,0.25,4.0,0.0,0.0,0.375,,0.5,0.5,,,,,,,5.625
202,KALIYEV Tamirlan,KAZ,,,,,,,,,0.5,0.25,0.375,,,0.25,,,,,3.0,1.25,5.625
203,HAVIV Liam,ISR,,,,,,0.25,0.0,0.0,0.0,0.25,0.0,,,,,,,0.0,,5.0,5.5
204,ASK Henri,SWE,,,0.0,,,,0.25,0.25,0.5,0.5,0.0,0.0,1.0,0.25,0.0,,,3.0,,0.0,5.5
205,LEE Seong-Jong,KOR,,,,,,,,,4.0,,,,,,1.5,,,,,,5.5
206,BOSNIC Hugo,AUS,,,,,,,,0.25,0.25,0.25,0.375,0.0,,,0.0,,,,3.0,1.25,5.375
207,KNIZHNYK Davyd,UKR,,,,,,,,,,0.25,,,,,,,,,,5.0,5.25
208,VALIERE Hugo,ROU,,0.25,0.25,,,0.0,,0.0,,0.25,0.375,,1.0,0.0,,,,3.0,,,5.125
209,NURUMOV Galim,KAZ,,,,,,,,,0.5,0.0,0.0,,,0.0,0.375,,,,3.0,1.25,5.125
210,RUBIN Mattia,HUN,,0.25,,,,0.0,,0.25,,,,,2.0,1.0,1.5,,,,,,5.0
