Rank,Name,Nat.,")AS(
aimrU
90/60",")AS(
kivajkyeR
90/12",")AS(
dnaG
90/82",")AS(
grebmeruN
01/11",")AS(
lubnatsI
01/81",")AS(
aifoS
01/62",")A(
reglA
11/60",")PG(
snaélrO
21/50",")PG(
sinuT
10/01",")A(
ytiC
ekaL
tlaS
10/32",")A(
tsepaduB
30/72",")A(
audaP
40/71",")PG(
noehcnI
50/10",")A(
oriaC
50/22",")ZHC(
najdibA
60/20",")ZHC(
amiL
60/51",")ZHC(
ynotnA
60/71",")ZHC(
ihleD
60/91",")MHC(
gnoK
gnoH
70/42",Points
125,FERNANDEZ BLANCO Oscar,ESP,,,0.0,,,,2.0,0.0,0.75,0.5,2.0,1.0,0.0,0.5,,,3.0,,2.5,11.75
126,DEARY William,GBR,,,,,,,,,,,2.0,4.0,,,,,3.0,,2.5,11.5
127,KALENDER Muhammed Furkan,TUR,1.0,3.0,,,3.0,,,0.375,,,1.0,0.25,,,,,3.0,,,11.375
128,SINGH Karan Singh,IND,,,,,,,,,0.75,,,,,2.0,,,,6.0,2.5,11.25
129,ROMO Brandon,MEX,,,,,,,,,,0.0,,,,,,6.0,,,5.0,11.0
130,SRINUALNAD Voragun,THA,,,,,,,,,,,,,1.5,,,,,6.0,2.5,10.0
131,REA Mattia,ITA,,,,,,,2.0,,3.0,4.0,1.0,0.0,,,,,,,,10.0
132,KURALBEKULY Bakdaulet,KAZ,,,,,,,2.0,1.5,3.0,,0.5,,,,,,,3.0,,10.0
133,KOSTIUKOV Ilia,RUS,,,,,,,1.0,,3.0,,,1.0,3.0,2.0,,,,,,10.0
134,CHOI Silas,USA,,,,,,,,,6.0,0.5,1.0,1.0,0.75,1.0,,,,,,9.75
135,LEUNG Tin Ching,HKG,,,,,,,0.25,1.5,6.0,0.25,0.25,0.5,0.75,1.0,,,,,,9.75
136,ERGASHBAY Kuanysh,KAZ,,,,,,,,,0.75,,0.25,1.0,0.75,2.0,,,,,5.0,9.75
137,SARON Mitchell,USA,,,,,,,1.0,1.5,,0.25,0.5,0.25,6.0,0.5,,,,,,9.5
138,WEBB Jonathan,GBR,,,,2.0,,,2.0,0.75,0.75,,0.25,0.5,,,,,3.0,,,9.0
139,KRAJNC Peter,SLO,,,,0.5,,,,,0.0,,0.25,1.0,,,,,6.0,,1.25,9.0
140,STATSENKO Oleksiy,UKR,,,,,,0.5,0.0,,,1.0,1.0,0.25,,2.0,,,3.0,,1.25,9.0
141,SEEFELD Eric Simon,GER,,,0.25,0.25,,,2.0,1.5,1.5,1.0,0.5,0.5,3.0,0.25,,,,,,9.0
142,WILLIAMS Grant,USA,,,,,,,,3.0,,2.0,1.0,,3.0,,,,,,,9.0
143,CALLAHAN Jaden,USA,,,,,,,4.0,0.75,3.0,,0.0,,,1.0,,,,,,8.75
144,ALITISZ Tomas Francisco,ARG,,2.0,0.0,0.5,0.0,,,,,,,,,,,6.0,,,,8.5
145,FALCON-KORB Mathis,CAN,,,,,,,,,,,,0.25,,1.0,,6.0,,,1.25,8.5
146,KHALIMBEKOV Magamed,RUS,,,,,,,1.0,3.0,0.75,,,,3.0,0.5,,,,,,8.25
147,ALMANSAF Abdullah,KSA,,,,,0.0,,0.0,,0.75,,,0.0,,0.0,,,,6.0,1.25,8.0
148,HORVATH Gergo,HUN,,,,,,,4.0,1.5,0.75,,0.25,0.25,1.5,,,,,,,8.0
149,TIULIUKOV Kirill,RUS,,,,,,,2.0,0.75,1.5,2.0,1.0,1.0,1.5,0.0,,,,,,8.0
150,GUILLEY Lucas,FRA,,,,,,,2.0,3.0,0.0,0.5,0.5,0.5,,2.0,,,,,,8.0
151,ZEA Gibran,MEX,,,,,0.5,,,0.375,,0.25,0.5,0.25,,,,6.0,,,,7.875
152,GEORGIEV Nikolay-Tomas,BUL,,,,,0.25,2.0,,1.5,3.0,,,1.0,,,,,,,,7.75
153,BROWN Alex,AUS,,,,,,,,,,,,,,,,,,6.0,1.25,7.25
154,ABDULKAREEM Mohammed,KUW,,,,,,,,,,,,,,,,,,6.0,1.25,7.25
155,HALLIWELL Barnaby,GBR,,,1.0,0.5,,,,3.0,0.0,,1.0,0.25,,,,,0.0,,1.25,7.0
156,PARK Hajun,KOR,,,,,,,,,,,4.0,,3.0,,,,,,,7.0
157,BORISOV Iaroslav,RUS,,,,,,,,,,,,,6.0,1.0,,,,,,7.0
158,GEMESI Csanad,HUN,,,,,,,,1.5,3.0,1.0,1.0,0.5,,,,,,,,7.0
159,PESHEV Kaloyan,BUL,,,,,0.0,1.0,0.5,0.375,,0.0,0.5,0.25,,0.0,,,3.0,,1.25,6.875
160,FRABOULET Evan,FRA,,,0.0,,,,,3.0,0.375,0.5,1.0,2.0,,0.25,,,,,,6.875
161,BAYLAC Baptiste,FRA,,,,,,,2.0,0.0,,,0.5,0.25,,4.0,,,,,,6.75
162,ZHANG Bo,CHN,,,,,,,,,,0.0,0.25,0.5,6.0,,,,,,,6.75
163,TRUSHAKOV Alexander,RUS,,,,,,,2.0,3.0,1.5,,,0.25,,,,,,,,6.75
164,KOVAL Stsiapan,BLR,,,,,,,1.0,0.75,0.75,,,,,,,,3.0,,1.25,6.75
165,ZHAILYBAY Nurmukhammed,KAZ,,,,,,,,,0.0,,,0.25,3.0,1.0,,,,,2.5,6.75
166,AYALA Julian,MEX,,,,,,,,,,0.5,,,,,,6.0,,,,6.5
167,EICHHORN Lukas,PER,,,,,0.25,,,,,0.25,,,,,,6.0,,,,6.5
168,DRAGOMIR Eduard,ROU,,,,,,0.25,,3.0,0.75,,0.25,2.0,,0.5,,,,,,6.5
169,REALE Edoardo,ITA,,,,,,,0.5,,6.0,,,,,,,,,,,6.5
170,THAPAR Vishal,IND,,,,,,,,,0.0,,0.0,0.25,,0.25,,,,6.0,0.0,6.5
171,WEI Andrew,CAN,,,,,,,,0.0,,0.5,0.25,0.25,,,,3.0,,,2.5,6.5
172,SALIBA Renato,BRA,,,,,,,,,,0.25,,,,,,6.0,,,0.0,6.25
173,PECH Kornel,HUN,,,,0.25,,,1.0,1.5,0.75,,0.5,2.0,,1.0,,,,,,6.25
174,FOTOUHI Mohammad,IRI,,,,,,,0.5,,,,,,1.5,,,,,3.0,1.25,6.25
175,COUDERC Tom,FRA,,,,,,,2.0,1.5,0.75,,,1.0,,1.0,,,,,,6.25
176,MORAN Yago,ESP,,,,,,,1.0,0.375,0.75,2.0,2.0,0.25,,0.5,,,,,,6.25
177,OLANGUA Asier,ESP,,,,,,,2.0,0.75,1.5,0.25,1.0,0.5,,1.0,,,,,,6.25
178,MAYER SHERPARD Esteban Gabriel,BOL,,,,,,,,,,,,,,,,6.0,,,,6.0
178,OUEDRAOGO Sougri-Noma Abdoul Rachid,BUR,,,,,,,,,,,,,,,6.0,,,,,6.0
180,KACZKOWSKI Krzysztof,POL,,,,,,0.25,0.5,1.5,,1.0,0.5,2.0,,1.0,,,,,,6.0
181,DIAZ Jose,CHI,,,,,,0.0,0.0,,,,0.0,0.0,,0.0,,6.0,,,,6.0
182,ALVARES DE OLIVEIRA Victor,CPV,,,,,,,,,,,,,,,6.0,,,,,6.0
183,ABUJNAH Mohamed,LBA,,,,,,,0.0,,,,,,,,6.0,,,,,6.0
184,KOUADIO Emmanuel Landry Olivier,CIV,,,,,,,,,,,,,,,6.0,,,,,6.0
185,KINDA W Yannick,BUR,,,,,,,,,,,,,,,6.0,,,,,6.0
186,MEDINA SANCHEZ Marcel,VEN,,,,,,,0.0,,,,0.0,,,0.0,,6.0,,,0.0,6.0
187,BILE GUY ANGE,CIV,,,,,,,,,,,,,,,6.0,,,,,6.0
188,MATTOO Deven,PUR,,,,,,,,,,0.0,,,,,,6.0,,,,6.0
189,MIGNUZZI Giacomo,ITA,,,,,,,,6.0,,,,,,,,,,,,6.0
190,LATHAM Gaspar,CHI,,,,,,,,,,,,,,,,6.0,,,,6.0
191,GARRIGOS Henrique,BRA,,,,,,,,,,,,,,,,6.0,,,,6.0
192,ALFAU LARANCUENTE Gabriel Armando,DOM,,,,,,,,,,0.0,,,,,,6.0,,,,6.0
193,GONZALEZ GONZALEZ Matias,COL,,,,,,,,,,,,,,,,6.0,,,,6.0
194,CARDONA PINEDA Jacob,COL,,,,,,,,,,,,,,,,6.0,,,,6.0
195,CONCEPCION Christian Jhester,PHI,,,,,,,,,,,,,,,,,,6.0,0.0,6.0
196,ALMUTAIRI Adel,KSA,,,,,,,0.5,,,,,0.0,,0.0,,,,3.0,2.5,6.0
197,THOMPSON Khalil,USA,,,,,,,0.5,,,2.0,1.0,0.5,1.5,1.0,,,,,,6.0
198,KATO Hibiki,JPN,,,,,,,0.5,1.5,1.5,0.25,2.0,0.5,0.0,0.5,,,,,,6.0
199,LEO Aan Rohan,SGP,,,,,0.25,,,,,,,,,,,,,3.0,2.5,5.75
200,URUSHADZE Giorgi,GEO,,,,,,,,,,0.5,,0.0,,0.25,,,0.0,,5.0,5.75
201,GIRAULT Evann Jean Abba,NIG,,,,,,,0.25,1.5,1.5,,,,,,,,,,2.5,5.75
202,MEKESHKIN Mark,RUS,,,,,,,,0.375,0.75,1.0,0.25,0.5,3.0,0.25,,,,,,5.625
203,VIGH Benedek,HUN,,,,0.5,,,0.5,0.375,1.5,,0.5,1.0,,2.0,,,,,,5.5
204,SHIM Yoongi,AUS,,,,,,,,,,0.5,,,0.75,,,,,3.0,1.25,5.5
205,ALAMMARI Amaar,KUW,,,,,,,,0.0,0.0,,,,,,,,,3.0,2.5,5.5
206,TEH Zi Hao,MAS,,,,,,,,,,,,,,,,,,3.0,2.5,5.5
207,AKBAROV Murad,AZE,,,,,,,,,,,,,,,,,3.0,,2.5,5.5
208,YIN Xiaopeng,CHN,,,,,,,,,,0.5,2.0,0.5,1.5,1.0,,,,,,5.5
209,OTTAVIANI Lorenzo,ITA,,,,1.0,,0.25,,,,,,4.0,,,,,,,,5.25
210,ALMANSAF Abdulaziz,KSA,,,,,0.25,,0.0,,0.0,,,0.25,,0.5,,,,3.0,1.25,5.25
211,EMURA Ryohei,JPN,,,,,,,1.0,,0.75,1.0,1.0,0.25,1.5,0.5,,,,,,5.25
212,KUZMIN Leon,GER,,,2.0,0.25,,,0.5,0.75,1.5,,,,,,,,,,,5.0
213,CHEONG Heonjun,USA,,,,,,,,,3.0,1.0,0.5,0.5,,,,,,,,5.0
214,HUSEYNOV Abbas,AZE,,,,,,,,,,,,,,,,,0.0,,5.0,5.0
215,ALOBAID Fayadh,KSA,,,,,0.0,,0.0,,,,,0.5,,0.0,,,,3.0,1.25,4.75
216,KISEL Siarhei,BLR,,,,,,,1.0,,0.75,,,,,,,,3.0,,,4.75
217,LEE Hyobin,KOR,,,,,,,,0.0,3.0,1.0,,,0.75,,,,,,,4.75
218,MUELLER Max Laurin,GER,,1.0,0.5,0.25,,,0.5,0.0,1.5,,1.0,,,,,,,,,4.5
219,KHODIR Yassin,EGY,,,,,,,,,3.0,1.0,,,,0.5,,,,,,4.5
220,FLOREZ Carlos,ESP,,,,,,,1.0,1.5,0.0,1.0,0.25,0.5,0.0,0.5,,,,,,4.5
221,WESTERN REYES Rafael,PUR,,,,,,,,,,0.0,,,,,,3.0,,,1.25,4.25
222,LIM Sebastian Jia Sheng,MAS,,,,,,,,,,,,,,,,,,3.0,1.25,4.25
223,YOSHIDA Tamon,JPN,,,,,,,0.5,1.5,0.75,0.25,1.0,0.5,,0.0,,,,,,4.25
224,KUCHERSKOY Ilya,RUS,,,,,,,0.5,0.375,0.75,,2.0,,,0.5,,,,,,4.125
225,SCHENKEL Moritz,GER,,,,1.0,,,1.0,,0.75,0.5,,0.0,0.75,0.5,,,,,,4.0
